#mGo	mLSP	Total	Counts	genWeight
650	425	5469388	39161	39161.000
1450	1150	5469388	2981	2981.000
1650	400	5469388	3611	3611.000
950	300	5469388	21540	21540.000
600	100	5469388	62550	62550.000
1750	850	5469388	2531	2531.000
1900	400	5469388	3033	3033.000
1800	1350	5469388	3350	3350.000
1150	300	5469388	16170	16170.000
1400	1100	5469388	2814	2814.000
1650	900	5469388	2842	2842.000
1200	800	5469388	12323	12323.000
700	475	5469388	22903	22903.000
1950	900	5469388	3453	3453.000
1350	1050	5469388	4039	4039.000
1050	300	5469388	24111	24111.000
1750	1150	5469388	4023	4023.000
1300	1050	5469388	5858	5858.000
1750	1450	5469388	3607	3607.000
1600	1350	5469388	3075	3075.000
1600	1300	5469388	3309	3309.000
850	625	5469388	22095	22095.000
1650	1300	5469388	3888	3888.000
950	700	5469388	21904	21904.000
750	400	5469388	23709	23709.000
1200	100	5469388	9492	9492.000
1900	300	5469388	3187	3187.000
1800	1450	5469388	2907	2907.000
1900	500	5469388	2743	2743.000
1700	950	5469388	3849	3849.000
1300	200	5469388	5277	5277.000
2000	1550	5469388	3738	3738.000
900	400	5469388	24784	24784.000
800	450	5469388	21035	21035.000
1650	0	5469388	2663	2663.000
1400	0	5469388	3309	3309.000
1000	450	5469388	23908	23908.000
1600	750	5469388	2727	2727.000
1550	1300	5469388	2655	2655.000
1350	650	5469388	4635	4635.000
1200	950	5469388	8893	8893.000
1400	450	5469388	2801	2801.000
1900	1000	5469388	2918	2918.000
600	350	5469388	69076	69076.000
1100	550	5469388	20126	20126.000
1700	1200	5469388	3406	3406.000
1850	200	5469388	2910	2910.000
1100	100	5469388	23307	23307.000
1300	550	5469388	6867	6867.000
950	550	5469388	25917	25917.000
1750	1200	5469388	4085	4085.000
2000	1150	5469388	2096	2096.000
1250	400	5469388	8348	8348.000
950	600	5469388	20304	20304.000
750	350	5469388	24454	24454.000
1450	650	5469388	2402	2402.000
1500	950	5469388	2897	2897.000
1250	650	5469388	7437	7437.000
1450	750	5469388	4025	4025.000
1000	775	5469388	25222	25222.000
1450	950	5469388	3487	3487.000
900	650	5469388	21549	21549.000
2000	1300	5469388	3251	3251.000
1650	100	5469388	2735	2735.000
1050	450	5469388	21195	21195.000
1550	750	5469388	2849	2849.000
2000	1500	5469388	3664	3664.000
1600	1250	5469388	1758	1758.000
950	500	5469388	23522	23522.000
1300	900	5469388	5171	5171.000
650	400	5469388	41520	41520.000
1900	600	5469388	4433	4433.000
1850	1500	5469388	3248	3248.000
1250	100	5469388	7719	7719.000
850	400	5469388	23425	23425.000
850	550	5469388	22819	22819.000
1300	1000	5469388	6474	6474.000
1700	700	5469388	4151	4151.000
1750	1350	5469388	2780	2780.000
1550	650	5469388	4044	4044.000
1900	1300	5469388	3267	3267.000
600	300	5469388	66959	66959.000
1200	750	5469388	13447	13447.000
1700	400	5469388	4021	4021.000
1000	750	5469388	25569	25569.000
1400	200	5469388	3353	3353.000
1450	300	5469388	3695	3695.000
1450	600	5469388	3649	3649.000
1500	0	5469388	2384	2384.000
800	350	5469388	20448	20448.000
1500	300	5469388	3350	3350.000
1900	200	5469388	3295	3295.000
1700	0	5469388	3263	3263.000
1500	900	5469388	3926	3926.000
1750	600	5469388	2599	2599.000
950	400	5469388	24453	24453.000
1800	1000	5469388	2880	2880.000
1800	100	5469388	3381	3381.000
1700	1300	5469388	4164	4164.000
1900	900	5469388	2972	2972.000
1000	0	5469388	20779	20779.000
1750	400	5469388	3021	3021.000
1950	1500	5469388	2474	2474.000
1200	0	5469388	12346	12346.000
1050	650	5469388	24941	24941.000
1200	600	5469388	12602	12602.000
1700	1050	5469388	3216	3216.000
1750	700	5469388	2570	2570.000
1650	300	5469388	2354	2354.000
1900	800	5469388	3003	3003.000
1700	100	5469388	2619	2619.000
1550	550	5469388	3017	3017.000
800	550	5469388	26403	26403.000
800	400	5469388	21241	21241.000
1800	850	5469388	2739	2739.000
800	100	5469388	24403	24403.000
1850	400	5469388	4193	4193.000
1600	1000	5469388	3221	3221.000
1600	700	5469388	2784	2784.000
1950	1100	5469388	3710	3710.000
1400	1000	5469388	3306	3306.000
1550	1200	5469388	3015	3015.000
1800	1550	5469388	3288	3288.000
1400	400	5469388	3797	3797.000
1950	1250	5469388	3776	3776.000
1950	200	5469388	3036	3036.000
1700	800	5469388	3707	3707.000
1750	1400	5469388	2763	2763.000
2000	1600	5469388	4038	4038.000
1700	1000	5469388	2371	2371.000
1250	800	5469388	7171	7171.000
1200	500	5469388	10694	10694.000
1900	700	5469388	3551	3551.000
1700	1150	5469388	4439	4439.000
1550	950	5469388	3773	3773.000
1300	500	5469388	5785	5785.000
1450	100	5469388	2466	2466.000
1750	500	5469388	2350	2350.000
1450	400	5469388	3578	3578.000
1850	1250	5469388	3588	3588.000
700	200	5469388	25912	25912.000
2000	1200	5469388	3618	3618.000
1000	300	5469388	22990	22990.000
1650	750	5469388	3149	3149.000
1550	1100	5469388	3325	3325.000
1600	1200	5469388	2366	2366.000
1750	1500	5469388	2927	2927.000
1050	600	5469388	22898	22898.000
1750	1250	5469388	3014	3014.000
1200	650	5469388	9509	9509.000
850	450	5469388	26390	26390.000
850	600	5469388	20500	20500.000
1250	350	5469388	7956	7956.000
650	300	5469388	40425	40425.000
1700	300	5469388	3349	3349.000
1650	700	5469388	3700	3700.000
1150	600	5469388	16441	16441.000
700	300	5469388	23702	23702.000
1500	550	5469388	2748	2748.000
1100	0	5469388	22442	22442.000
1700	1350	5469388	2737	2737.000
1550	850	5469388	3068	3068.000
1400	1050	5469388	4167	4167.000
1950	950	5469388	2929	2929.000
1400	750	5469388	3419	3419.000
1100	350	5469388	20730	20730.000
1850	1350	5469388	3824	3824.000
1800	900	5469388	3178	3178.000
700	350	5469388	25524	25524.000
1150	750	5469388	14393	14393.000
1800	0	5469388	1807	1807.000
1250	500	5469388	7451	7451.000
800	300	5469388	23008	23008.000
1700	1250	5469388	2880	2880.000
1000	500	5469388	25339	25339.000
1050	750	5469388	24330	24330.000
1800	1250	5469388	3229	3229.000
1900	1400	5469388	3397	3397.000
1150	700	5469388	17516	17516.000
1800	950	5469388	2675	2675.000
2000	1450	5469388	2358	2358.000
1750	1050	5469388	2627	2627.000
1350	350	5469388	4778	4778.000
1300	650	5469388	5062	5062.000
1100	400	5469388	18370	18370.000
1650	1000	5469388	3741	3741.000
1800	1050	5469388	3666	3666.000
1800	400	5469388	4430	4430.000
750	300	5469388	24611	24611.000
900	300	5469388	24362	24362.000
1350	300	5469388	3575	3575.000
1650	950	5469388	3523	3523.000
1000	650	5469388	27666	27666.000
1800	500	5469388	2515	2515.000
2000	400	5469388	2010	2010.000
1400	1175	5469388	4049	4049.000
