#mGo	mLSP	Total	Counts	genWeight
2000	1500	6502352	3766	3766.000
1600	1250	6502352	2791	2791.000
950	500	6502352	26086	26086.000
1300	900	6502352	7348	7348.000
650	400	6502352	50098	50098.000
1900	600	6502352	4080	4080.000
1850	1500	6502352	4216	4216.000
1250	100	6502352	10161	10161.000
850	400	6502352	28337	28337.000
850	550	6502352	28995	28995.000
1300	1000	6502352	7123	7123.000
1700	700	6502352	3441	3441.000
1750	1350	6502352	4621	4621.000
1550	650	6502352	4534	4534.000
1900	1300	6502352	4280	4280.000
600	300	6502352	75941	75941.000
1200	750	6502352	13405	13405.000
1700	400	6502352	4111	4111.000
1000	750	6502352	26277	26277.000
1400	200	6502352	3693	3693.000
1450	300	6502352	3377	3377.000
1450	600	6502352	3426	3426.000
1500	0	6502352	3737	3737.000
800	350	6502352	30123	30123.000
1500	300	6502352	1981	1981.000
1900	200	6502352	3325	3325.000
1700	0	6502352	3444	3444.000
1500	900	6502352	4074	4074.000
1750	600	6502352	4209	4209.000
950	400	6502352	29688	29688.000
1800	1000	6502352	3212	3212.000
1800	100	6502352	3801	3801.000
1700	1300	6502352	3609	3609.000
1900	900	6502352	3122	3122.000
1000	0	6502352	28359	28359.000
1750	400	6502352	4279	4279.000
1950	1500	6502352	4457	4457.000
1200	0	6502352	14244	14244.000
1050	650	6502352	28510	28510.000
1200	600	6502352	12457	12457.000
1700	1050	6502352	3757	3757.000
1750	700	6502352	4033	4033.000
1650	300	6502352	3802	3802.000
1900	800	6502352	4026	4026.000
1700	100	6502352	3490	3490.000
1550	550	6502352	3575	3575.000
800	550	6502352	28316	28316.000
800	400	6502352	27816	27816.000
1800	850	6502352	4059	4059.000
800	100	6502352	30202	30202.000
1850	400	6502352	3297	3297.000
1600	1000	6502352	3841	3841.000
1600	700	6502352	4048	4048.000
1950	1100	6502352	3418	3418.000
1400	1000	6502352	3767	3767.000
1550	1200	6502352	2466	2466.000
1800	1550	6502352	4556	4556.000
1400	400	6502352	4268	4268.000
1950	1250	6502352	4271	4271.000
1950	200	6502352	4243	4243.000
1700	800	6502352	3132	3132.000
1750	1400	6502352	4333	4333.000
2000	1600	6502352	4022	4022.000
1700	1000	6502352	3672	3672.000
1250	800	6502352	9265	9265.000
1200	500	6502352	13955	13955.000
1900	700	6502352	5504	5504.000
1700	1150	6502352	3395	3395.000
1550	950	6502352	3472	3472.000
1300	500	6502352	5914	5914.000
1450	100	6502352	4782	4782.000
1750	500	6502352	4503	4503.000
1450	400	6502352	3847	3847.000
1850	1250	6502352	3215	3215.000
700	200	6502352	30021	30021.000
2000	1200	6502352	3702	3702.000
1000	300	6502352	25831	25831.000
1650	750	6502352	3378	3378.000
1550	1100	6502352	3344	3344.000
1600	1200	6502352	4468	4468.000
1750	1500	6502352	4646	4646.000
1050	600	6502352	29073	29073.000
1750	1250	6502352	3597	3597.000
1200	650	6502352	11605	11605.000
850	450	6502352	27674	27674.000
850	600	6502352	25766	25766.000
1250	350	6502352	7004	7004.000
650	300	6502352	47291	47291.000
1700	300	6502352	3699	3699.000
1650	700	6502352	4051	4051.000
1150	600	6502352	17686	17686.000
700	300	6502352	26667	26667.000
1500	550	6502352	3828	3828.000
1100	0	6502352	24004	24004.000
1700	1350	6502352	3694	3694.000
1550	850	6502352	3520	3520.000
1400	1050	6502352	4123	4123.000
1950	950	6502352	4344	4344.000
1400	750	6502352	5052	5052.000
1100	350	6502352	23636	23636.000
1850	1350	6502352	3448	3448.000
1800	900	6502352	5295	5295.000
700	350	6502352	29709	29709.000
1150	750	6502352	17731	17731.000
1800	0	6502352	3889	3889.000
1250	500	6502352	9520	9520.000
800	300	6502352	25720	25720.000
1700	1250	6502352	4302	4302.000
1000	500	6502352	28919	28919.000
1050	750	6502352	28297	28297.000
1800	1250	6502352	3297	3297.000
1900	1400	6502352	4799	4799.000
1150	700	6502352	20064	20064.000
1800	950	6502352	3611	3611.000
2000	1450	6502352	3583	3583.000
1750	1050	6502352	3779	3779.000
1350	350	6502352	5459	5459.000
1300	650	6502352	6991	6991.000
1100	400	6502352	24178	24178.000
1650	1000	6502352	3175	3175.000
1800	1050	6502352	3912	3912.000
1800	400	6502352	3233	3233.000
750	300	6502352	27369	27369.000
900	300	6502352	29381	29381.000
1350	300	6502352	5758	5758.000
1650	950	6502352	4532	4532.000
1000	650	6502352	29570	29570.000
1800	500	6502352	2908	2908.000
2000	400	6502352	3498	3498.000
1400	1175	6502352	4156	4156.000
700	0	6502352	32194	32194.000
1400	950	6502352	4490	4490.000
1750	0	6502352	3651	3651.000
1350	1000	6502352	6272	6272.000
1550	700	6502352	3959	3959.000
1200	400	6502352	14948	14948.000
1850	1600	6502352	3197	3197.000
1750	950	6502352	4462	4462.000
1850	1000	6502352	3869	3869.000
2000	800	6502352	4544	4544.000
800	575	6502352	24732	24732.000
1850	1450	6502352	2998	2998.000
1100	500	6502352	22219	22219.000
1700	750	6502352	3617	3617.000
1250	0	6502352	11532	11532.000
1250	600	6502352	9056	9056.000
1500	1050	6502352	4136	4136.000
1450	450	6502352	2760	2760.000
1350	550	6502352	6067	6067.000
2000	1250	6502352	4522	4522.000
1300	1075	6502352	6870	6870.000
1550	100	6502352	3331	3331.000
1000	550	6502352	30430	30430.000
1800	600	6502352	4846	4846.000
1700	1450	6502352	4147	4147.000
1900	1600	6502352	3497	3497.000
1800	1500	6502352	3938	3938.000
1550	600	6502352	4160	4160.000
1050	350	6502352	28805	28805.000
1250	750	6502352	7611	7611.000
850	500	6502352	25643	25643.000
600	0	6502352	75374	75374.000
1850	500	6502352	3739	3739.000
1800	1150	6502352	3621	3621.000
1050	800	6502352	27098	27098.000
1850	950	6502352	3475	3475.000
1750	800	6502352	5577	5577.000
1400	700	6502352	3612	3612.000
1200	200	6502352	13064	13064.000
1600	850	6502352	4297	4297.000
1400	100	6502352	4157	4157.000
1350	500	6502352	6716	6716.000
800	0	6502352	28273	28273.000
2000	500	6502352	2923	2923.000
1900	1500	6502352	2833	2833.000
1450	700	6502352	3328	3328.000
1950	1600	6502352	4064	4064.000
1450	1000	6502352	3442	3442.000
1500	100	6502352	3415	3415.000
1300	950	6502352	8017	8017.000
1750	1100	6502352	4962	4962.000
1250	1025	6502352	9748	9748.000
1500	1000	6502352	3698	3698.000
1600	1375	6502352	3723	3723.000
1100	650	6502352	23584	23584.000
1650	650	6502352	3752	3752.000
1100	200	6502352	24565	24565.000
1350	900	6502352	4507	4507.000
1950	1150	6502352	5137	5137.000
1750	900	6502352	4430	4430.000
1400	900	6502352	5501	5501.000
1400	850	6502352	3645	3645.000
1350	100	6502352	6177	6177.000
1750	100	6502352	4045	4045.000
1200	350	6502352	12407	12407.000
1300	0	6502352	6141	6141.000
1950	300	6502352	3285	3285.000
1950	1200	6502352	3963	3963.000
1800	700	6502352	3474	3474.000
1650	200	6502352	3323	3323.000
900	0	6502352	27636	27636.000
900	100	6502352	28577	28577.000
1650	1100	6502352	4234	4234.000
1250	1000	6502352	9074	9074.000
2000	1000	6502352	3768	3768.000
1850	1200	6502352	2725	2725.000
1700	500	6502352	2316	2316.000
1100	700	6502352	27199	27199.000
650	350	6502352	48204	48204.000
1100	750	6502352	25478	25478.000
1850	0	6502352	2847	2847.000
2000	100	6502352	3792	3792.000
1650	1050	6502352	2886	2886.000
1900	950	6502352	5187	5187.000
1000	350	6502352	30514	30514.000
1800	1575	6502352	3613	3613.000
1400	300	6502352	4203	4203.000
#mGo	mLSP	Total	Counts	genWeight
1800	200	5586768	3241	3241.000
600	200	5586768	69218	69218.000
1950	800	5586768	2405	2405.000
1850	1400	5586768	2347	2347.000
1150	450	5586768	14047	14047.000
1300	700	5586768	5990	5990.000
1250	300	5586768	7840	7840.000
600	375	5586768	69557	69557.000
1600	100	5586768	3026	3026.000
1050	400	5586768	25771	25771.000
2000	700	5586768	3131	3131.000
1200	850	5586768	12024	12024.000
1950	1450	5586768	4651	4651.000
1150	400	5586768	15528	15528.000
1450	800	5586768	3999	3999.000
2000	1100	5586768	4600	4600.000
1300	750	5586768	5420	5420.000
1350	1125	5586768	4673	4673.000
1850	850	5586768	2424	2424.000
1800	1300	5586768	2344	2344.000
1100	800	5586768	19250	19250.000
1900	1050	5586768	3826	3826.000
1850	700	5586768	3531	3531.000
1300	800	5586768	5669	5669.000
900	675	5586768	24413	24413.000
1650	1150	5586768	2273	2273.000
1950	1400	5586768	3779	3779.000
1500	600	5586768	2682	2682.000
1600	950	5586768	3087	3087.000
1500	1200	5586768	3368	3368.000
1700	850	5586768	2787	2787.000
950	350	5586768	24007	24007.000
2000	200	5586768	3924	3924.000
1650	1350	5586768	3030	3030.000
1100	875	5586768	20916	20916.000
900	600	5586768	22190	22190.000
1300	850	5586768	5864	5864.000
1050	550	5586768	25748	25748.000
1350	600	5586768	4555	4555.000
2000	1350	5586768	2704	2704.000
700	100	5586768	26847	26847.000
1550	900	5586768	3388	3388.000
1150	350	5586768	17379	17379.000
1500	1250	5586768	3589	3589.000
1400	650	5586768	3006	3006.000
1100	450	5586768	21600	21600.000
1800	800	5586768	4067	4067.000
1550	1000	5586768	3104	3104.000
1150	650	5586768	15355	15355.000
1450	1050	5586768	2908	2908.000
1950	100	5586768	3142	3142.000
800	200	5586768	20241	20241.000
1550	200	5586768	3357	3357.000
1300	300	5586768	6383	6383.000
1700	900	5586768	3332	3332.000
1900	1350	5586768	3311	3311.000
1200	700	5586768	10824	10824.000
1350	950	5586768	3657	3657.000
1600	1050	5586768	3281	3281.000
1200	900	5586768	11099	11099.000
1300	350	5586768	4632	4632.000
1600	300	5586768	3453	3453.000
1550	800	5586768	3094	3094.000
1600	900	5586768	3028	3028.000
1650	500	5586768	2078	2078.000
900	500	5586768	23067	23067.000
1600	600	5586768	2706	2706.000
1650	1400	5586768	2719	2719.000
1900	1200	5586768	3270	3270.000
1950	700	5586768	2546	2546.000
1350	450	5586768	4006	4006.000
1800	1400	5586768	2161	2161.000
1700	600	5586768	3676	3676.000
1900	1250	5586768	2839	2839.000
1300	600	5586768	6750	6750.000
1250	200	5586768	7907	7907.000
1650	1425	5586768	2843	2843.000
1150	500	5586768	14396	14396.000
1350	400	5586768	4550	4550.000
1450	500	5586768	3208	3208.000
1000	600	5586768	23368	23368.000
1050	500	5586768	20629	20629.000
1750	750	5586768	3266	3266.000
1850	600	5586768	2461	2461.000
1600	800	5586768	3324	3324.000
1250	700	5586768	7982	7982.000
1850	1050	5586768	3070	3070.000
1900	1150	5586768	2150	2150.000
1550	500	5586768	2776	2776.000
750	450	5586768	22544	22544.000
2000	1050	5586768	3204	3204.000
1500	850	5586768	5412	5412.000
1500	1150	5586768	3145	3145.000
1450	550	5586768	4214	4214.000
1350	0	5586768	6985	6985.000
1450	850	5586768	3172	3172.000
1550	0	5586768	2974	2974.000
2000	0	5586768	3712	3712.000
1300	100	5586768	6313	6313.000
950	725	5586768	25242	25242.000
1850	1300	5586768	3521	3521.000
1000	400	5586768	25878	25878.000
1900	1550	5586768	3178	3178.000
1600	650	5586768	3425	3425.000
1700	1400	5586768	2556	2556.000
850	300	5586768	22674	22674.000
900	200	5586768	22080	22080.000
1850	100	5586768	3153	3153.000
1250	450	5586768	8658	8658.000
900	550	5586768	23200	23200.000
950	650	5586768	22478	22478.000
1750	1300	5586768	3311	3311.000
1550	400	5586768	2891	2891.000
700	400	5586768	26371	26371.000
1050	700	5586768	22871	22871.000
1950	600	5586768	2057	2057.000
1400	600	5586768	4975	4975.000
1900	1450	5586768	2622	2622.000
1000	100	5586768	24111	24111.000
2000	300	5586768	2912	2912.000
1350	750	5586768	4863	4863.000
1450	200	5586768	3138	3138.000
1600	0	5586768	3058	3058.000
2000	900	5586768	3243	3243.000
1450	1100	5586768	2264	2264.000
1500	200	5586768	3506	3506.000
700	450	5586768	27668	27668.000
1250	950	5586768	7929	7929.000
1500	1275	5586768	3173	3173.000
1500	800	5586768	3383	3383.000
1500	1100	5586768	4855	4855.000
1950	1350	5586768	3221	3221.000
1950	1050	5586768	2363	2363.000
1150	800	5586768	14882	14882.000
1800	1100	5586768	3546	3546.000
1350	700	5586768	4919	4919.000
1650	1250	5586768	2725	2725.000
1150	925	5586768	14840	14840.000
1100	600	5586768	22942	22942.000
1500	500	5586768	3345	3345.000
1600	1150	5586768	2508	2508.000
1150	550	5586768	15919	15919.000
900	350	5586768	23402	23402.000
1200	550	5586768	11725	11725.000
1250	550	5586768	7563	7563.000
1950	1300	5586768	2784	2784.000
1550	300	5586768	3568	3568.000
1600	400	5586768	2856	2856.000
1950	400	5586768	3333	3333.000
1700	1475	5586768	2776	2776.000
1000	700	5586768	23908	23908.000
1350	1100	5586768	4579	4579.000
1800	1200	5586768	2259	2259.000
1350	200	5586768	4371	4371.000
1700	200	5586768	3882	3882.000
1650	600	5586768	3278	3278.000
1600	500	5586768	2149	2149.000
1200	450	5586768	9344	9344.000
750	525	5586768	21702	21702.000
1700	1100	5586768	3678	3678.000
1750	200	5586768	2646	2646.000
1950	500	5586768	2732	2732.000
1150	900	5586768	15625	15625.000
2000	1400	5586768	3880	3880.000
1050	825	5586768	23970	23970.000
1650	800	5586768	2673	2673.000
950	450	5586768	21067	21067.000
800	500	5586768	24234	24234.000
1850	800	5586768	3450	3450.000
1000	200	5586768	24604	24604.000
1200	975	5586768	11790	11790.000
750	500	5586768	23253	23253.000
1400	800	5586768	3121	3121.000
1450	1225	5586768	2916	2916.000
1400	500	5586768	2945	2945.000
2000	600	5586768	3231	3231.000
1950	0	5586768	4075	4075.000
1550	1150	5586768	2240	2240.000
1900	0	5586768	3458	3458.000
1950	1000	5586768	2385	2385.000
1850	1100	5586768	2776	2776.000
1150	850	5586768	16518	16518.000
1350	850	5586768	4654	4654.000
1950	1550	5586768	3836	3836.000
1750	300	5586768	2861	2861.000
1600	1100	5586768	3386	3386.000
1850	1550	5586768	2896	2896.000
1450	0	5586768	3916	3916.000
1750	1525	5586768	3465	3465.000
1450	900	5586768	3607	3607.000
1900	1100	5586768	2474	2474.000
1450	1200	5586768	2376	2376.000
1100	300	5586768	20517	20517.000
1350	800	5586768	5100	5100.000
1550	1325	5586768	4347	4347.000
1900	100	5586768	3124	3124.000
1850	900	5586768	2436	2436.000
1550	1250	5586768	3222	3222.000
1850	300	5586768	3579	3579.000
1300	400	5586768	4993	4993.000
1500	400	5586768	3134	3134.000
1800	300	5586768	3462	3462.000
1500	700	5586768	3921	3921.000
1550	1050	5586768	3720	3720.000
1750	1000	5586768	2586	2586.000
1650	850	5586768	2862	2862.000
900	450	5586768	26715	26715.000
850	350	5586768	26823	26823.000
1200	300	5586768	11114	11114.000
1600	200	5586768	3639	3639.000
1250	850	5586768	8500	8500.000
1300	450	5586768	7142	7142.000
1250	900	5586768	9281	9281.000
1650	1200	5586768	3092	3092.000
1500	750	5586768	2648	2648.000
1500	650	5586768	3003	3003.000
1400	1150	5586768	4267	4267.000
1400	550	5586768	4103	4103.000
1100	850	5586768	23623	23623.000
1850	1150	5586768	3097	3097.000
650	425	5586768	40668	40668.000
1450	1150	5586768	2568	2568.000
1650	400	5586768	2725	2725.000
950	300	5586768	23629	23629.000
600	100	5586768	68968	68968.000
1750	850	5586768	3549	3549.000
1900	400	5586768	3712	3712.000
1800	1350	5586768	1950	1950.000
1150	300	5586768	16165	16165.000
1400	1100	5586768	3133	3133.000
1650	900	5586768	3519	3519.000
1200	800	5586768	10693	10693.000
700	475	5586768	27148	27148.000
1950	900	5586768	4229	4229.000
1350	1050	5586768	4772	4772.000
1050	300	5586768	25189	25189.000
1750	1150	5586768	2273	2273.000
1300	1050	5586768	6418	6418.000
1750	1450	5586768	3122	3122.000
1600	1350	5586768	3604	3604.000
1600	1300	5586768	2831	2831.000
850	625	5586768	24571	24571.000
1650	1300	5586768	1857	1857.000
950	700	5586768	22611	22611.000
750	400	5586768	22922	22922.000
1200	100	5586768	9848	9848.000
1900	300	5586768	2113	2113.000
1800	1450	5586768	2283	2283.000
1900	500	5586768	2849	2849.000
1700	950	5586768	3520	3520.000
1300	200	5586768	5452	5452.000
2000	1550	5586768	2754	2754.000
900	400	5586768	22805	22805.000
800	450	5586768	24877	24877.000
1650	0	5586768	2477	2477.000
1400	0	5586768	3253	3253.000
1000	450	5586768	23673	23673.000
1600	750	5586768	2030	2030.000
1550	1300	5586768	3086	3086.000
1350	650	5586768	4947	4947.000
1200	950	5586768	13103	13103.000
1400	450	5586768	4113	4113.000
1900	1000	5586768	3124	3124.000
600	350	5586768	66504	66504.000
1100	550	5586768	22670	22670.000
1700	1200	5586768	3102	3102.000
1850	200	5586768	2993	2993.000
1100	100	5586768	21357	21357.000
1300	550	5586768	5970	5970.000
950	550	5586768	22369	22369.000
1750	1200	5586768	3497	3497.000
2000	1150	5586768	2379	2379.000
1250	400	5586768	10735	10735.000
950	600	5586768	24594	24594.000
750	350	5586768	25523	25523.000
1450	650	5586768	2871	2871.000
1500	950	5586768	2437	2437.000
1250	650	5586768	9119	9119.000
1450	750	5586768	3234	3234.000
1000	775	5586768	23549	23549.000
1450	950	5586768	2929	2929.000
900	650	5586768	26144	26144.000
2000	1300	5586768	3292	3292.000
1650	100	5586768	3154	3154.000
1050	450	5586768	24598	24598.000
1550	750	5586768	3419	3419.000
2000	1500	5586768	3401	3401.000
1600	1250	5586768	3669	3669.000
950	500	5586768	24519	24519.000
1300	900	5586768	6164	6164.000
650	400	5586768	37985	37985.000
1900	600	5586768	2521	2521.000
1850	1500	5586768	2984	2984.000
1250	100	5586768	7317	7317.000
850	400	5586768	24519	24519.000
850	550	5586768	20622	20622.000
1300	1000	5586768	7596	7596.000
1700	700	5586768	2701	2701.000
1750	1350	5586768	4185	4185.000
1550	650	5586768	3417	3417.000
1900	1300	5586768	3217	3217.000
600	300	5586768	66266	66266.000
1200	750	5586768	11902	11902.000
1700	400	5586768	3265	3265.000
1000	750	5586768	23686	23686.000
1400	200	5586768	2724	2724.000
1450	300	5586768	3026	3026.000
1450	600	5586768	4083	4083.000
1500	0	5586768	2677	2677.000
800	350	5586768	22347	22347.000
1500	300	5586768	1893	1893.000
1900	200	5586768	1923	1923.000
1700	0	5586768	2880	2880.000
1500	900	5586768	3106	3106.000
1750	600	5586768	3504	3504.000
950	400	5586768	25848	25848.000
1800	1000	5586768	2646	2646.000
1800	100	5586768	3552	3552.000
1700	1300	5586768	3265	3265.000
1900	900	5586768	2747	2747.000
1000	0	5586768	25749	25749.000
1750	400	5586768	5078	5078.000
1950	1500	5586768	3732	3732.000
1200	0	5586768	10264	10264.000
1050	650	5586768	24727	24727.000
1200	600	5586768	11349	11349.000
1700	1050	5586768	4936	4936.000
1750	700	5586768	2925	2925.000
1650	300	5586768	4287	4287.000
1900	800	5586768	3495	3495.000
1700	100	5586768	2838	2838.000
1550	550	5586768	2837	2837.000
800	550	5586768	27783	27783.000
800	400	5586768	24685	24685.000
1800	850	5586768	3332	3332.000
800	100	5586768	25831	25831.000
1850	400	5586768	3842	3842.000
1600	1000	5586768	2834	2834.000
1600	700	5586768	2730	2730.000
1950	1100	5586768	3693	3693.000
1400	1000	5586768	3588	3588.000
1550	1200	5586768	2718	2718.000
1800	1550	5586768	2495	2495.000
1400	400	5586768	3818	3818.000
1950	1250	5586768	3205	3205.000
1950	200	5586768	3380	3380.000
1700	800	5586768	3311	3311.000
1750	1400	5586768	3996	3996.000
2000	1600	5586768	2778	2778.000
1700	1000	5586768	3570	3570.000
1250	800	5586768	8282	8282.000
1200	500	5586768	8734	8734.000
1900	700	5586768	3162	3162.000
1700	1150	5586768	2817	2817.000
1550	950	5586768	3299	3299.000
1300	500	5586768	5507	5507.000
1450	100	5586768	2874	2874.000
1750	500	5586768	3696	3696.000
1450	400	5586768	2366	2366.000
1850	1250	5586768	1904	1904.000
700	200	5586768	25607	25607.000
2000	1200	5586768	3129	3129.000
1000	300	5586768	23819	23819.000
1650	750	5586768	3464	3464.000
1550	1100	5586768	3055	3055.000
1600	1200	5586768	3337	3337.000
1750	1500	5586768	2332	2332.000
1050	600	5586768	26856	26856.000
1750	1250	5586768	2411	2411.000
1200	650	5586768	10437	10437.000
850	450	5586768	25428	25428.000
850	600	5586768	24302	24302.000
1250	350	5586768	7316	7316.000
650	300	5586768	39470	39470.000
1700	300	5586768	2858	2858.000
1650	700	5586768	3300	3300.000
1150	600	5586768	14811	14811.000
700	300	5586768	26483	26483.000
1500	550	5586768	2478	2478.000
1100	0	5586768	22760	22760.000
1700	1350	5586768	3346	3346.000
1550	850	5586768	2801	2801.000
1400	1050	5586768	2929	2929.000
1950	950	5586768	1993	1993.000
1400	750	5586768	3262	3262.000
1100	350	5586768	23186	23186.000
1850	1350	5586768	3904	3904.000
1800	900	5586768	3612	3612.000
700	350	5586768	26484	26484.000
1150	750	5586768	16350	16350.000
1800	0	5586768	2198	2198.000
1250	500	5586768	8207	8207.000
800	300	5586768	24166	24166.000
1700	1250	5586768	3628	3628.000
1000	500	5586768	24842	24842.000
1050	750	5586768	25629	25629.000
1800	1250	5586768	3242	3242.000
1900	1400	5586768	2892	2892.000
1150	700	5586768	17002	17002.000
1800	950	5586768	2996	2996.000
2000	1450	5586768	3923	3923.000
1750	1050	5586768	3260	3260.000
1350	350	5586768	4415	4415.000
1300	650	5586768	6255	6255.000
1100	400	5586768	24389	24389.000
1650	1000	5586768	2855	2855.000
1800	1050	5586768	2404	2404.000
1800	400	5586768	3032	3032.000
750	300	5586768	24368	24368.000
900	300	5586768	23163	23163.000
1350	300	5586768	4831	4831.000
1650	950	5586768	4595	4595.000
1000	650	5586768	23778	23778.000
1800	500	5586768	2530	2530.000
2000	400	5586768	2581	2581.000
1400	1175	5586768	3204	3204.000
700	0	5586768	27280	27280.000
1400	950	5586768	2965	2965.000
1750	0	5586768	2701	2701.000
1350	1000	5586768	4233	4233.000
1550	700	5586768	3273	3273.000
1200	400	5586768	10661	10661.000
1850	1600	5586768	4213	4213.000
1750	950	5586768	2426	2426.000
1850	1000	5586768	1813	1813.000
2000	800	5586768	2485	2485.000
800	575	5586768	26632	26632.000
1850	1450	5586768	3605	3605.000
1100	500	5586768	20887	20887.000
1700	750	5586768	2539	2539.000
1250	0	5586768	9033	9033.000
1250	600	5586768	9087	9087.000
1500	1050	5586768	2660	2660.000
1450	450	5586768	3027	3027.000
1350	550	5586768	4433	4433.000
2000	1250	5586768	2920	2920.000
1300	1075	5586768	7216	7216.000
1550	100	5586768	2914	2914.000
1000	550	5586768	21582	21582.000
1800	600	5586768	3270	3270.000
1700	1450	5586768	2741	2741.000
1900	1600	5586768	3190	3190.000
1800	1500	5586768	3057	3057.000
1550	600	5586768	2256	2256.000
1050	350	5586768	23175	23175.000
1250	750	5586768	8318	8318.000
850	500	5586768	23518	23518.000
600	0	5586768	71857	71857.000
1850	500	5586768	1991	1991.000
1800	1150	5586768	2850	2850.000
1050	800	5586768	23033	23033.000
1850	950	5586768	4146	4146.000
1750	800	5586768	3493	3493.000
1400	700	5586768	2758	2758.000
1200	200	5586768	12449	12449.000
1600	850	5586768	2683	2683.000
1400	100	5586768	2964	2964.000
1350	500	5586768	4240	4240.000
800	0	5586768	24538	24538.000
2000	500	5586768	2526	2526.000
1900	1500	5586768	3586	3586.000
1450	700	5586768	3358	3358.000
1950	1600	5586768	2804	2804.000
1450	1000	5586768	3955	3955.000
1500	100	5586768	2777	2777.000
1300	950	5586768	5952	5952.000
1750	1100	5586768	3250	3250.000
1250	1025	5586768	7164	7164.000
1500	1000	5586768	3841	3841.000
1600	1375	5586768	1933	1933.000
1100	650	5586768	22395	22395.000
1650	650	5586768	3540	3540.000
1100	200	5586768	20567	20567.000
1350	900	5586768	5213	5213.000
1950	1150	5586768	2454	2454.000
1750	900	5586768	3604	3604.000
1400	900	5586768	3920	3920.000
1400	850	5586768	2620	2620.000
1350	100	5586768	5094	5094.000
1750	100	5586768	3106	3106.000
1200	350	5586768	11683	11683.000
1300	0	5586768	7056	7056.000
1950	300	5586768	3245	3245.000
1950	1200	5586768	2692	2692.000
1800	700	5586768	3641	3641.000
1650	200	5586768	3297	3297.000
900	0	5586768	25831	25831.000
900	100	5586768	23597	23597.000
1650	1100	5586768	2904	2904.000
1250	1000	5586768	6997	6997.000
2000	1000	5586768	2754	2754.000
1850	1200	5586768	2982	2982.000
1700	500	5586768	3159	3159.000
1100	700	5586768	21157	21157.000
650	350	5586768	36433	36433.000
1100	750	5586768	20606	20606.000
1850	0	5586768	2754	2754.000
2000	100	5586768	3740	3740.000
1650	1050	5586768	3659	3659.000
1900	950	5586768	2186	2186.000
1000	350	5586768	24979	24979.000
1800	1575	5586768	2151	2151.000
1400	300	5586768	4038	4038.000
#mGo	mLSP	Total	Counts	genWeight
1800	200	5736918	3034	3034.000
600	200	5736918	68125	68125.000
1950	800	5736918	3626	3626.000
1850	1400	5736918	3370	3370.000
1150	450	5736918	15083	15083.000
1300	700	5736918	7111	7111.000
1250	300	5736918	8847	8847.000
600	375	5736918	66746	66746.000
1600	100	5736918	2938	2938.000
1050	400	5736918	24405	24405.000
2000	700	5736918	3223	3223.000
1200	850	5736918	12142	12142.000
1950	1450	5736918	3597	3597.000
1150	400	5736918	17570	17570.000
1450	800	5736918	3749	3749.000
2000	1100	5736918	2667	2667.000
1300	750	5736918	6282	6282.000
1350	1125	5736918	3881	3881.000
1850	850	5736918	2925	2925.000
1800	1300	5736918	2601	2601.000
1100	800	5736918	23415	23415.000
1900	1050	5736918	3217	3217.000
1850	700	5736918	3152	3152.000
1300	800	5736918	5261	5261.000
900	675	5736918	23185	23185.000
1650	1150	5736918	3957	3957.000
1950	1400	5736918	3123	3123.000
1500	600	5736918	2981	2981.000
1600	950	5736918	3989	3989.000
1500	1200	5736918	2693	2693.000
1700	850	5736918	2936	2936.000
950	350	5736918	23847	23847.000
2000	200	5736918	3865	3865.000
1650	1350	5736918	1914	1914.000
1100	875	5736918	23627	23627.000
900	600	5736918	24462	24462.000
1300	850	5736918	6477	6477.000
1050	550	5736918	22400	22400.000
1350	600	5736918	4598	4598.000
2000	1350	5736918	3981	3981.000
700	100	5736918	26707	26707.000
1550	900	5736918	3142	3142.000
1150	350	5736918	16899	16899.000
1500	1250	5736918	3545	3545.000
1400	650	5736918	3898	3898.000
1100	450	5736918	22759	22759.000
1800	800	5736918	3445	3445.000
1550	1000	5736918	3328	3328.000
1150	650	5736918	17355	17355.000
1450	1050	5736918	3324	3324.000
1950	100	5736918	3440	3440.000
800	200	5736918	25104	25104.000
1550	200	5736918	2772	2772.000
1300	300	5736918	7351	7351.000
1700	900	5736918	2090	2090.000
1900	1350	5736918	2680	2680.000
1200	700	5736918	9394	9394.000
1350	950	5736918	4507	4507.000
1600	1050	5736918	2534	2534.000
1200	900	5736918	10291	10291.000
1300	350	5736918	6380	6380.000
1600	300	5736918	3131	3131.000
1550	800	5736918	2698	2698.000
1600	900	5736918	3458	3458.000
1650	500	5736918	2702	2702.000
900	500	5736918	22925	22925.000
1600	600	5736918	3874	3874.000
1650	1400	5736918	4138	4138.000
1900	1200	5736918	2386	2386.000
1950	700	5736918	3859	3859.000
1350	450	5736918	3378	3378.000
1800	1400	5736918	2762	2762.000
1700	600	5736918	4553	4553.000
1900	1250	5736918	3683	3683.000
1300	600	5736918	6102	6102.000
1250	200	5736918	10684	10684.000
1650	1425	5736918	2214	2214.000
1150	500	5736918	14408	14408.000
1350	400	5736918	4530	4530.000
1450	500	5736918	3526	3526.000
1000	600	5736918	24090	24090.000
1050	500	5736918	28044	28044.000
1750	750	5736918	3356	3356.000
1850	600	5736918	3155	3155.000
1600	800	5736918	3232	3232.000
1250	700	5736918	9511	9511.000
1850	1050	5736918	3854	3854.000
1900	1150	5736918	4275	4275.000
1550	500	5736918	2354	2354.000
750	450	5736918	24936	24936.000
2000	1050	5736918	3714	3714.000
1500	850	5736918	2605	2605.000
