#mGo	mLSP	Total	TotGenW	Counts	genWeight
1800	200	13141476	13141476.000	5254	5254.000
600	200	13141476	13141476.000	150374	150374.000
1950	800	13141476	13141476.000	7064	7064.000
2300	900	13141476	13141476.000	6589	6589.000
2500	1200	13141476	13141476.000	5834	5834.000
1150	450	13141476	13141476.000	33370	33370.000
2300	200	13141476	13141476.000	5302	5302.000
2250	300	13141476	13141476.000	5802	5802.000
2250	1100	13141476	13141476.000	7144	7144.000
1300	700	13141476	13141476.000	12788	12788.000
1250	300	13141476	13141476.000	17527	17527.000
1600	100	13141476	13141476.000	5511	5511.000
1050	400	13141476	13141476.000	55725	55725.000
2000	700	13141476	13141476.000	6603	6603.000
1200	850	13141476	13141476.000	25914	25914.000
2100	400	13141476	13141476.000	6719	6719.000
2550	500	13141476	13141476.000	5970	5970.000
2300	1900	13141476	13141476.000	7881	7881.000
2050	1600	13141476	13141476.000	6944	6944.000
2100	1300	13141476	13141476.000	6625	6625.000
2200	1450	13141476	13141476.000	7021	7021.000
1900	1700	13141476	13141476.000	7038	7038.000
1450	500	13141476	13141476.000	6953	6953.000
1450	800	13141476	13141476.000	7087	7087.000
2000	1100	13141476	13141476.000	7322	7322.000
1300	750	13141476	13141476.000	13322	13322.000
1850	850	13141476	13141476.000	7257	7257.000
1800	1300	13141476	13141476.000	7832	7832.000
2400	800	13141476	13141476.000	5722	5722.000
1100	800	13141476	13141476.000	50584	50584.000
1900	1050	13141476	13141476.000	7027	7027.000
1000	800	13141476	13141476.000	54380	54380.000
1850	700	13141476	13141476.000	7291	7291.000
1300	800	13141476	13141476.000	13518	13518.000
2600	1400	13141476	13141476.000	6537	6537.000
2100	1350	13141476	13141476.000	7819	7819.000
1650	1150	13141476	13141476.000	8268	8268.000
2550	400	13141476	13141476.000	6891	6891.000
1950	1400	13141476	13141476.000	6975	6975.000
1500	600	13141476	13141476.000	6532	6532.000
1600	950	13141476	13141476.000	6915	6915.000
1900	1775	13141476	13141476.000	7716	7716.000
2300	1100	13141476	13141476.000	6702	6702.000
1500	1200	13141476	13141476.000	6481	6481.000
1700	850	13141476	13141476.000	6815	6815.000
2200	1300	13141476	13141476.000	6677	6677.000
2000	200	13141476	13141476.000	5855	5855.000
2100	1150	13141476	13141476.000	6719	6719.000
1550	550	13141476	13141476.000	7869	7869.000
1650	1350	13141476	13141476.000	8013	8013.000
850	700	13141476	13141476.000	56481	56481.000
900	600	13141476	13141476.000	54259	54259.000
1300	850	13141476	13141476.000	13498	13498.000
1050	550	13141476	13141476.000	54692	54692.000
1300	550	13141476	13141476.000	13100	13100.000
2000	1350	13141476	13141476.000	6015	6015.000
700	575	13141476	13141476.000	59981	59981.000
700	100	13141476	13141476.000	52314	52314.000
2250	1550	13141476	13141476.000	6377	6377.000
2250	1250	13141476	13141476.000	7119	7119.000
1550	900	13141476	13141476.000	8427	8427.000
2300	1600	13141476	13141476.000	8158	8158.000
2500	1550	13141476	13141476.000	6773	6773.000
2350	1400	13141476	13141476.000	7281	7281.000
2100	1600	13141476	13141476.000	6742	6742.000
1500	1250	13141476	13141476.000	6496	6496.000
2500	1100	13141476	13141476.000	6804	6804.000
1400	1250	13141476	13141476.000	8476	8476.000
1200	1075	13141476	13141476.000	26074	26074.000
2200	1700	13141476	13141476.000	8035	8035.000
1400	650	13141476	13141476.000	6498	6498.000
1100	450	13141476	13141476.000	47355	47355.000
1950	1825	13141476	13141476.000	7717	7717.000
2300	300	13141476	13141476.000	6164	6164.000
2600	1200	13141476	13141476.000	7430	7430.000
2150	1500	13141476	13141476.000	7108	7108.000
1800	800	13141476	13141476.000	7672	7672.000
1550	1000	13141476	13141476.000	6940	6940.000
2550	900	13141476	13141476.000	6255	6255.000
1150	650	13141476	13141476.000	37093	37093.000
800	650	13141476	13141476.000	55932	55932.000
1450	1050	13141476	13141476.000	8865	8865.000
1950	100	13141476	13141476.000	5313	5313.000
800	200	13141476	13141476.000	51628	51628.000
1250	100	13141476	13141476.000	14302	14302.000
2050	1350	13141476	13141476.000	7351	7351.000
1300	300	13141476	13141476.000	13002	13002.000
1700	900	13141476	13141476.000	7331	7331.000
1900	1350	13141476	13141476.000	7339	7339.000
2150	1200	13141476	13141476.000	6748	6748.000
1200	700	13141476	13141476.000	25995	25995.000
2600	0	13141476	13141476.000	4461	4461.000
2200	1000	13141476	13141476.000	7341	7341.000
2600	1300	13141476	13141476.000	6459	6459.000
1350	950	13141476	13141476.000	9418	9418.000
2050	1200	13141476	13141476.000	8307	8307.000
2250	1650	13141476	13141476.000	6444	6444.000
2100	900	13141476	13141476.000	5914	5914.000
1600	1050	13141476	13141476.000	6455	6455.000
1200	900	13141476	13141476.000	24257	24257.000
2400	1550	13141476	13141476.000	7642	7642.000
1850	1725	13141476	13141476.000	8083	8083.000
2050	500	13141476	13141476.000	7176	7176.000
1600	300	13141476	13141476.000	6407	6407.000
1550	800	13141476	13141476.000	6520	6520.000
1600	900	13141476	13141476.000	9127	9127.000
2050	1400	13141476	13141476.000	7038	7038.000
2100	1200	13141476	13141476.000	7626	7626.000
1650	500	13141476	13141476.000	7251	7251.000
900	500	13141476	13141476.000	56105	56105.000
2450	0	13141476	13141476.000	4880	4880.000
1600	600	13141476	13141476.000	6796	6796.000
2150	200	13141476	13141476.000	5487	5487.000
1650	1400	13141476	13141476.000	7855	7855.000
1850	100	13141476	13141476.000	5940	5940.000
1900	1200	13141476	13141476.000	5633	5633.000
1950	700	13141476	13141476.000	6444	6444.000
1350	450	13141476	13141476.000	10768	10768.000
1550	1300	13141476	13141476.000	7181	7181.000
2350	1750	13141476	13141476.000	6462	6462.000
1650	1100	13141476	13141476.000	6404	6404.000
1900	1250	13141476	13141476.000	7645	7645.000
1300	600	13141476	13141476.000	13294	13294.000
1250	200	13141476	13141476.000	15541	15541.000
600	400	13141476	13141476.000	153117	153117.000
2200	100	13141476	13141476.000	5910	5910.000
2000	1750	13141476	13141476.000	7114	7114.000
1950	1450	13141476	13141476.000	8072	8072.000
2100	1800	13141476	13141476.000	7705	7705.000
1150	500	13141476	13141476.000	34377	34377.000
2450	1000	13141476	13141476.000	7823	7823.000
2500	0	13141476	13141476.000	4695	4695.000
1350	400	13141476	13141476.000	10971	10971.000
1150	400	13141476	13141476.000	34881	34881.000
2150	1700	13141476	13141476.000	6814	6814.000
750	625	13141476	13141476.000	54760	54760.000
1000	600	13141476	13141476.000	52543	52543.000
1050	500	13141476	13141476.000	56151	56151.000
2300	1450	13141476	13141476.000	7341	7341.000
2250	1400	13141476	13141476.000	8280	8280.000
1750	750	13141476	13141476.000	5802	5802.000
2050	800	13141476	13141476.000	6672	6672.000
600	450	13141476	13141476.000	157995	157995.000
2050	1250	13141476	13141476.000	7706	7706.000
1950	1650	13141476	13141476.000	8199	8199.000
1250	1125	13141476	13141476.000	19650	19650.000
2050	1700	13141476	13141476.000	7068	7068.000
2150	1600	13141476	13141476.000	7915	7915.000
1850	600	13141476	13141476.000	5985	5985.000
950	825	13141476	13141476.000	57481	57481.000
1600	800	13141476	13141476.000	6964	6964.000
1250	700	13141476	13141476.000	18181	18181.000
1850	1050	13141476	13141476.000	7327	7327.000
950	750	13141476	13141476.000	56357	56357.000
1900	1150	13141476	13141476.000	7166	7166.000
2300	800	13141476	13141476.000	7519	7519.000
1550	500	13141476	13141476.000	6621	6621.000
750	450	13141476	13141476.000	55927	55927.000
1850	1700	13141476	13141476.000	6642	6642.000
2600	1800	13141476	13141476.000	7693	7693.000
1500	850	13141476	13141476.000	7039	7039.000
2000	1250	13141476	13141476.000	6825	6825.000
1500	1150	13141476	13141476.000	7189	7189.000
2150	900	13141476	13141476.000	7691	7691.000
1450	550	13141476	13141476.000	6443	6443.000
1350	0	13141476	13141476.000	6837	6837.000
1450	850	13141476	13141476.000	7529	7529.000
1550	0	13141476	13141476.000	3889	3889.000
2000	0	13141476	13141476.000	4444	4444.000
1600	1475	13141476	13141476.000	6811	6811.000
1300	100	13141476	13141476.000	10473	10473.000
1650	1525	13141476	13141476.000	7679	7679.000
1850	1300	13141476	13141476.000	6505	6505.000
1000	400	13141476	13141476.000	56547	56547.000
1900	1550	13141476	13141476.000	7570	7570.000
2350	1900	13141476	13141476.000	7172	7172.000
2400	1400	13141476	13141476.000	6692	6692.000
2250	400	13141476	13141476.000	6215	6215.000
1600	650	13141476	13141476.000	7918	7918.000
2150	1450	13141476	13141476.000	6279	6279.000
2150	500	13141476	13141476.000	6641	6641.000
2000	1650	13141476	13141476.000	8465	8465.000
2200	1550	13141476	13141476.000	7252	7252.000
2550	1650	13141476	13141476.000	7728	7728.000
2450	300	13141476	13141476.000	5661	5661.000
2250	1300	13141476	13141476.000	7690	7690.000
1700	1400	13141476	13141476.000	7347	7347.000
2600	500	13141476	13141476.000	6009	6009.000
1700	1575	13141476	13141476.000	7411	7411.000
2000	1850	13141476	13141476.000	7929	7929.000
1700	1350	13141476	13141476.000	7431	7431.000
900	200	13141476	13141476.000	52348	52348.000
650	525	13141476	13141476.000	97910	97910.000
2400	100	13141476	13141476.000	4742	4742.000
1950	1750	13141476	13141476.000	8101	8101.000
1050	900	13141476	13141476.000	57873	57873.000
1250	450	13141476	13141476.000	18709	18709.000
2400	1650	13141476	13141476.000	6751	6751.000
2450	200	13141476	13141476.000	4985	4985.000
950	650	13141476	13141476.000	56795	56795.000
2500	500	13141476	13141476.000	6112	6112.000
2150	1000	13141476	13141476.000	6876	6876.000
1750	1300	13141476	13141476.000	7080	7080.000
1550	400	13141476	13141476.000	6798	6798.000
700	400	13141476	13141476.000	55954	55954.000
1400	1200	13141476	13141476.000	7980	7980.000
1050	700	13141476	13141476.000	56330	56330.000
1950	600	13141476	13141476.000	6633	6633.000
1400	600	13141476	13141476.000	7827	7827.000
1900	1450	13141476	13141476.000	7233	7233.000
1000	100	13141476	13141476.000	45224	45224.000
2000	300	13141476	13141476.000	5427	5427.000
2350	1000	13141476	13141476.000	7400	7400.000
1350	750	13141476	13141476.000	11679	11679.000
1450	200	13141476	13141476.000	6734	6734.000
1600	0	13141476	13141476.000	4592	4592.000
2000	900	13141476	13141476.000	7717	7717.000
2200	1500	13141476	13141476.000	6299	6299.000
800	600	13141476	13141476.000	58084	58084.000
1450	1100	13141476	13141476.000	8028	8028.000
1500	200	13141476	13141476.000	6410	6410.000
700	450	13141476	13141476.000	59056	59056.000
1250	950	13141476	13141476.000	17507	17507.000
2250	500	13141476	13141476.000	6995	6995.000
1500	800	13141476	13141476.000	7767	7767.000
1500	550	13141476	13141476.000	7046	7046.000
1500	1100	13141476	13141476.000	7138	7138.000
1950	1350	13141476	13141476.000	7374	7374.000
2150	1850	13141476	13141476.000	7240	7240.000
1950	1050	13141476	13141476.000	7074	7074.000
1150	800	13141476	13141476.000	33225	33225.000
1800	1100	13141476	13141476.000	6244	6244.000
1350	700	13141476	13141476.000	10657	10657.000
1650	1250	13141476	13141476.000	7025	7025.000
2450	100	13141476	13141476.000	4414	4414.000
1100	600	13141476	13141476.000	48091	48091.000
1500	500	13141476	13141476.000	6919	6919.000
1600	1150	13141476	13141476.000	8104	8104.000
1150	550	13141476	13141476.000	35394	35394.000
2450	800	13141476	13141476.000	6759	6759.000
1400	1100	13141476	13141476.000	7758	7758.000
2500	800	13141476	13141476.000	6738	6738.000
1200	550	13141476	13141476.000	24198	24198.000
2300	1500	13141476	13141476.000	6583	6583.000
2050	700	13141476	13141476.000	7183	7183.000
2400	500	13141476	13141476.000	7280	7280.000
1950	1300	13141476	13141476.000	7904	7904.000
1000	875	13141476	13141476.000	57489	57489.000
2050	1150	13141476	13141476.000	6816	6816.000
1550	300	13141476	13141476.000	7412	7412.000
1600	400	13141476	13141476.000	6243	6243.000
1950	400	13141476	13141476.000	7112	7112.000
1000	700	13141476	13141476.000	54300	54300.000
1350	1100	13141476	13141476.000	11546	11546.000
1800	1200	13141476	13141476.000	6912	6912.000
2400	1700	13141476	13141476.000	7382	7382.000
2100	1900	13141476	13141476.000	6931	6931.000
1350	200	13141476	13141476.000	9433	9433.000
1700	200	13141476	13141476.000	5587	5587.000
1650	600	13141476	13141476.000	7925	7925.000
1600	500	13141476	13141476.000	6757	6757.000
1200	450	13141476	13141476.000	25970	25970.000
2400	1100	13141476	13141476.000	7162	7162.000
1500	1300	13141476	13141476.000	7852	7852.000
1750	200	13141476	13141476.000	5275	5275.000
1950	500	13141476	13141476.000	7386	7386.000
1150	900	13141476	13141476.000	39491	39491.000
2500	300	13141476	13141476.000	5940	5940.000
2000	1400	13141476	13141476.000	8791	8791.000
900	0	13141476	13141476.000	37016	37016.000
1900	1750	13141476	13141476.000	7867	7867.000
1650	800	13141476	13141476.000	7377	7377.000
1550	1425	13141476	13141476.000	6184	6184.000
950	450	13141476	13141476.000	56292	56292.000
800	500	13141476	13141476.000	55102	55102.000
1850	800	13141476	13141476.000	8059	8059.000
2500	1850	13141476	13141476.000	5707	5707.000
1000	200	13141476	13141476.000	49594	49594.000
1000	850	13141476	13141476.000	57646	57646.000
2450	1800	13141476	13141476.000	7603	7603.000
750	500	13141476	13141476.000	54963	54963.000
1400	800	13141476	13141476.000	8350	8350.000
1750	1550	13141476	13141476.000	6839	6839.000
2050	100	13141476	13141476.000	5440	5440.000
2350	1700	13141476	13141476.000	7459	7459.000
1050	850	13141476	13141476.000	58388	58388.000
2250	200	13141476	13141476.000	6007	6007.000
2200	0	13141476	13141476.000	4563	4563.000
1950	0	13141476	13141476.000	4171	4171.000
1550	1150	13141476	13141476.000	7366	7366.000
1900	0	13141476	13141476.000	4767	4767.000
1950	1000	13141476	13141476.000	8026	8026.000
1850	1100	13141476	13141476.000	6069	6069.000
2450	400	13141476	13141476.000	5378	5378.000
2600	1000	13141476	13141476.000	6842	6842.000
2600	1650	13141476	13141476.000	7487	7487.000
2150	100	13141476	13141476.000	4516	4516.000
1150	850	13141476	13141476.000	38562	38562.000
2400	1200	13141476	13141476.000	6708	6708.000
2300	1650	13141476	13141476.000	7139	7139.000
1350	850	13141476	13141476.000	10721	10721.000
1950	1550	13141476	13141476.000	7589	7589.000
1750	300	13141476	13141476.000	6326	6326.000
2100	500	13141476	13141476.000	6806	6806.000
1600	1100	13141476	13141476.000	6777	6777.000
1900	1650	13141476	13141476.000	8466	8466.000
2000	1200	13141476	13141476.000	7713	7713.000
1450	0	13141476	13141476.000	4929	4929.000
2550	100	13141476	13141476.000	4600	4600.000
2100	0	13141476	13141476.000	4823	4823.000
1850	1650	13141476	13141476.000	8046	8046.000
2400	1600	13141476	13141476.000	7277	7277.000
1450	900	13141476	13141476.000	8011	8011.000
1900	1100	13141476	13141476.000	8415	8415.000
1450	1200	13141476	13141476.000	8172	8172.000
1100	300	13141476	13141476.000	46260	46260.000
1350	800	13141476	13141476.000	10089	10089.000
2350	1850	13141476	13141476.000	7240	7240.000
2350	300	13141476	13141476.000	6367	6367.000
1900	100	13141476	13141476.000	5070	5070.000
1850	900	13141476	13141476.000	6241	6241.000
2450	1550	13141476	13141476.000	6416	6416.000
2350	1300	13141476	13141476.000	7461	7461.000
1550	1250	13141476	13141476.000	7175	7175.000
1850	300	13141476	13141476.000	6189	6189.000
1300	400	13141476	13141476.000	13126	13126.000
1350	1225	13141476	13141476.000	10515	10515.000
2150	1650	13141476	13141476.000	6790	6790.000
2250	900	13141476	13141476.000	7806	7806.000
1500	400	13141476	13141476.000	6194	6194.000
1800	300	13141476	13141476.000	6121	6121.000
1500	700	13141476	13141476.000	6174	6174.000
2550	800	13141476	13141476.000	5750	5750.000
1150	950	13141476	13141476.000	36741	36741.000
1550	1050	13141476	13141476.000	7397	7397.000
1750	1000	13141476	13141476.000	7324	7324.000
1650	850	13141476	13141476.000	6816	6816.000
900	450	13141476	13141476.000	52599	52599.000
2000	600	13141476	13141476.000	6533	6533.000
1200	300	13141476	13141476.000	24513	24513.000
900	700	13141476	13141476.000	57748	57748.000
1250	850	13141476	13141476.000	18377	18377.000
2550	200	13141476	13141476.000	6011	6011.000
1300	450	13141476	13141476.000	12844	12844.000
1250	900	13141476	13141476.000	17853	17853.000
1650	1200	13141476	13141476.000	7886	7886.000
2200	1600	13141476	13141476.000	7451	7451.000
1500	750	13141476	13141476.000	6844	6844.000
1500	650	13141476	13141476.000	7158	7158.000
2100	1700	13141476	13141476.000	7300	7300.000
1500	1350	13141476	13141476.000	7456	7456.000
2200	1900	13141476	13141476.000	6800	6800.000
1400	1150	13141476	13141476.000	8442	8442.000
2450	1750	13141476	13141476.000	6611	6611.000
2350	700	13141476	13141476.000	6159	6159.000
2100	600	13141476	13141476.000	6299	6299.000
1400	550	13141476	13141476.000	8111	8111.000
2100	1000	13141476	13141476.000	7649	7649.000
2500	600	13141476	13141476.000	6800	6800.000
750	550	13141476	13141476.000	55772	55772.000
1100	850	13141476	13141476.000	50886	50886.000
1850	1150	13141476	13141476.000	6118	6118.000
2150	1750	13141476	13141476.000	7022	7022.000
2350	500	13141476	13141476.000	6278	6278.000
2500	400	13141476	13141476.000	6739	6739.000
2500	900	13141476	13141476.000	6686	6686.000
1450	1150	13141476	13141476.000	7957	7957.000
1650	400	13141476	13141476.000	6989	6989.000
2200	400	13141476	13141476.000	6410	6410.000
2450	1700	13141476	13141476.000	8163	8163.000
2400	600	13141476	13141476.000	6863	6863.000
600	100	13141476	13141476.000	136570	136570.000
1750	850	13141476	13141476.000	7507	7507.000
1200	1050	13141476	13141476.000	24265	24265.000
1900	400	13141476	13141476.000	6224	6224.000
1800	1350	13141476	13141476.000	7261	7261.000
2500	1700	13141476	13141476.000	7670	7670.000
2100	300	13141476	13141476.000	5595	5595.000
2400	0	13141476	13141476.000	4249	4249.000
1550	850	13141476	13141476.000	6678	6678.000
1600	1400	13141476	13141476.000	7357	7357.000
1650	900	13141476	13141476.000	7790	7790.000
1200	800	13141476	13141476.000	24992	24992.000
1950	900	13141476	13141476.000	8000	8000.000
2600	1900	13141476	13141476.000	7405	7405.000
2300	1850	13141476	13141476.000	7773	7773.000
1350	1050	13141476	13141476.000	12726	12726.000
1750	1150	13141476	13141476.000	8251	8251.000
1300	1050	13141476	13141476.000	14602	14602.000
1750	1450	13141476	13141476.000	7360	7360.000
2050	1500	13141476	13141476.000	7335	7335.000
1600	1350	13141476	13141476.000	7902	7902.000
2550	300	13141476	13141476.000	5264	5264.000
1600	1300	13141476	13141476.000	6586	6586.000
2150	0	13141476	13141476.000	4678	4678.000
1350	1150	13141476	13141476.000	11980	11980.000
2600	800	13141476	13141476.000	6590	6590.000
2500	1800	13141476	13141476.000	7101	7101.000
1100	900	13141476	13141476.000	52326	52326.000
2200	900	13141476	13141476.000	6116	6116.000
950	700	13141476	13141476.000	56885	56885.000
2400	1500	13141476	13141476.000	7319	7319.000
1350	1000	13141476	13141476.000	11421	11421.000
1200	100	13141476	13141476.000	19115	19115.000
1900	300	13141476	13141476.000	6583	6583.000
1800	1450	13141476	13141476.000	6712	6712.000
700	500	13141476	13141476.000	61920	61920.000
2550	1750	13141476	13141476.000	7219	7219.000
1700	950	13141476	13141476.000	7438	7438.000
1300	200	13141476	13141476.000	11659	11659.000
2200	600	13141476	13141476.000	7492	7492.000
2000	1550	13141476	13141476.000	8037	8037.000
2300	1350	13141476	13141476.000	6853	6853.000
600	0	13141476	13141476.000	111451	111451.000
800	450	13141476	13141476.000	54061	54061.000
1650	1450	13141476	13141476.000	7990	7990.000
1750	0	13141476	13141476.000	5012	5012.000
1650	0	13141476	13141476.000	5513	5513.000
1100	975	13141476	13141476.000	49642	49642.000
1400	0	13141476	13141476.000	4913	4913.000
1000	450	13141476	13141476.000	54656	54656.000
2150	1300	13141476	13141476.000	7255	7255.000
1600	750	13141476	13141476.000	7504	7504.000
1400	1275	13141476	13141476.000	7859	7859.000
1350	650	13141476	13141476.000	8410	8410.000
1200	950	13141476	13141476.000	25561	25561.000
2100	1500	13141476	13141476.000	7003	7003.000
1400	450	13141476	13141476.000	7620	7620.000
1900	1000	13141476	13141476.000	6237	6237.000
2050	900	13141476	13141476.000	7236	7236.000
1850	1400	13141476	13141476.000	7578	7578.000
1950	1700	13141476	13141476.000	7230	7230.000
2550	1300	13141476	13141476.000	7265	7265.000
2050	1800	13141476	13141476.000	7586	7586.000
2500	100	13141476	13141476.000	4556	4556.000
1100	550	13141476	13141476.000	49401	49401.000
1700	1200	13141476	13141476.000	7598	7598.000
1850	200	13141476	13141476.000	5649	5649.000
1100	100	13141476	13141476.000	40923	40923.000
1350	600	13141476	13141476.000	10082	10082.000
950	550	13141476	13141476.000	57096	57096.000
1750	1200	13141476	13141476.000	8765	8765.000
2000	1150	13141476	13141476.000	6250	6250.000
2200	1850	13141476	13141476.000	8058	8058.000
1250	400	13141476	13141476.000	19213	19213.000
1900	1500	13141476	13141476.000	7363	7363.000
2550	1700	13141476	13141476.000	6208	6208.000
950	600	13141476	13141476.000	56542	56542.000
2200	700	13141476	13141476.000	7254	7254.000
1450	650	13141476	13141476.000	6965	6965.000
1500	950	13141476	13141476.000	6938	6938.000
2250	1500	13141476	13141476.000	6606	6606.000
1450	750	13141476	13141476.000	7773	7773.000
1250	1100	13141476	13141476.000	19272	19272.000
2350	1650	13141476	13141476.000	7634	7634.000
1450	950	13141476	13141476.000	7775	7775.000
1450	1250	13141476	13141476.000	8720	8720.000
2550	1100	13141476	13141476.000	7045	7045.000
900	650	13141476	13141476.000	55307	55307.000
2550	1000	13141476	13141476.000	8925	8925.000
2450	1900	13141476	13141476.000	8177	8177.000
2600	1100	13141476	13141476.000	7621	7621.000
2500	1600	13141476	13141476.000	6544	6544.000
2250	1200	13141476	13141476.000	7973	7973.000
2000	1300	13141476	13141476.000	7438	7438.000
1650	100	13141476	13141476.000	5382	5382.000
2550	1400	13141476	13141476.000	7459	7459.000
1050	450	13141476	13141476.000	54423	54423.000
2150	1250	13141476	13141476.000	7352	7352.000
2350	800	13141476	13141476.000	6292	6292.000
1550	750	13141476	13141476.000	7255	7255.000
2000	1500	13141476	13141476.000	8422	8422.000
1600	1250	13141476	13141476.000	7724	7724.000
950	500	13141476	13141476.000	53419	53419.000
1300	900	13141476	13141476.000	12786	12786.000
2350	1600	13141476	13141476.000	8218	8218.000
650	400	13141476	13141476.000	95033	95033.000
1900	600	13141476	13141476.000	7652	7652.000
2400	1300	13141476	13141476.000	6876	6876.000
1850	1500	13141476	13141476.000	8120	8120.000
1550	200	13141476	13141476.000	5914	5914.000
850	400	13141476	13141476.000	52198	52198.000
850	550	13141476	13141476.000	54566	54566.000
2050	1650	13141476	13141476.000	7845	7845.000
