#mGo	mLSP	Total	TotGenW	Counts	genWeight
1250	700	32362718	32362718.000	44186	44186.000
1850	1050	32362718	32362718.000	17441	17441.000
2700	0	32362718	32362718.000	13070	13070.000
1900	1150	32362718	32362718.000	19233	19233.000
2300	800	32362718	32362718.000	13735	13735.000
1550	500	32362718	32362718.000	16626	16626.000
750	450	32362718	32362718.000	140490	140490.000
2200	1300	32362718	32362718.000	19390	19390.000
2000	1050	32362718	32362718.000	16658	16658.000
1500	850	32362718	32362718.000	18869	18869.000
2150	1200	32362718	32362718.000	19597	19597.000
1500	1150	32362718	32362718.000	21337	21337.000
2150	900	32362718	32362718.000	15774	15774.000
1450	550	32362718	32362718.000	17038	17038.000
1350	0	32362718	32362718.000	24166	24166.000
1450	850	32362718	32362718.000	21617	21617.000
1550	0	32362718	32362718.000	18745	18745.000
2000	0	32362718	32362718.000	18400	18400.000
1300	100	32362718	32362718.000	32696	32696.000
950	725	32362718	32362718.000	143224	143224.000
1850	1300	32362718	32362718.000	19579	19579.000
1000	400	32362718	32362718.000	133889	133889.000
1900	1550	32362718	32362718.000	16034	16034.000
2400	1400	32362718	32362718.000	16579	16579.000
2250	400	32362718	32362718.000	14375	14375.000
1600	650	32362718	32362718.000	18427	18427.000
2150	1450	32362718	32362718.000	18129	18129.000
2150	500	32362718	32362718.000	17811	17811.000
2200	1550	32362718	32362718.000	20920	20920.000
2700	900	32362718	32362718.000	17547	17547.000
2450	300	32362718	32362718.000	20046	20046.000
2250	1300	32362718	32362718.000	14050	14050.000
1700	1400	32362718	32362718.000	16534	16534.000
2750	900	32362718	32362718.000	18063	18063.000
2100	200	32362718	32362718.000	22018	22018.000
2600	500	32362718	32362718.000	17771	17771.000
2800	1200	32362718	32362718.000	17074	17074.000
850	300	32362718	32362718.000	144651	144651.000
900	200	32362718	32362718.000	138121	138121.000
2400	100	32362718	32362718.000	16872	16872.000
2100	0	32362718	32362718.000	18720	18720.000
2700	1300	32362718	32362718.000	17972	17972.000
1850	100	32362718	32362718.000	21889	21889.000
1250	450	32362718	32362718.000	46922	46922.000
2450	200	32362718	32362718.000	17713	17713.000
900	550	32362718	32362718.000	136110	136110.000
950	650	32362718	32362718.000	141689	141689.000
2150	1000	32362718	32362718.000	15693	15693.000
1750	1300	32362718	32362718.000	21919	21919.000
2700	1500	32362718	32362718.000	16176	16176.000
1550	400	32362718	32362718.000	18965	18965.000
700	400	32362718	32362718.000	137276	137276.000
2500	900	32362718	32362718.000	18034	18034.000
1050	700	32362718	32362718.000	144032	144032.000
1950	600	32362718	32362718.000	19302	19302.000
1400	600	32362718	32362718.000	21252	21252.000
1900	1450	32362718	32362718.000	16612	16612.000
1000	100	32362718	32362718.000	141453	141453.000
2000	300	32362718	32362718.000	20031	20031.000
2350	1000	32362718	32362718.000	15983	15983.000
1350	750	32362718	32362718.000	26495	26495.000
1450	200	32362718	32362718.000	15879	15879.000
1600	0	32362718	32362718.000	16923	16923.000
2000	900	32362718	32362718.000	19171	19171.000
2200	1500	32362718	32362718.000	16876	16876.000
2650	0	32362718	32362718.000	17428	17428.000
1450	1100	32362718	32362718.000	22198	22198.000
1500	200	32362718	32362718.000	15831	15831.000
700	450	32362718	32362718.000	140477	140477.000
1250	950	32362718	32362718.000	49343	49343.000
2250	500	32362718	32362718.000	18085	18085.000
1500	1275	32362718	32362718.000	16639	16639.000
1500	800	32362718	32362718.000	19800	19800.000
2050	0	32362718	32362718.000	21215	21215.000
1500	1100	32362718	32362718.000	18255	18255.000
2650	1200	32362718	32362718.000	17884	17884.000
1950	1350	32362718	32362718.000	20293	20293.000
2200	1600	32362718	32362718.000	20591	20591.000
1950	1050	32362718	32362718.000	16502	16502.000
1150	800	32362718	32362718.000	90148	90148.000
1800	1100	32362718	32362718.000	19951	19951.000
1350	700	32362718	32362718.000	27182	27182.000
1650	1250	32362718	32362718.000	16546	16546.000
2450	100	32362718	32362718.000	15371	15371.000
1150	925	32362718	32362718.000	94615	94615.000
1100	600	32362718	32362718.000	118989	118989.000
1500	500	32362718	32362718.000	16437	16437.000
2700	1200	32362718	32362718.000	22075	22075.000
1600	1150	32362718	32362718.000	20316	20316.000
1150	550	32362718	32362718.000	97075	97075.000
2450	800	32362718	32362718.000	19251	19251.000
900	350	32362718	32362718.000	133857	133857.000
2500	800	32362718	32362718.000	18993	18993.000
