#mGo	mLSP	Total	TotGenW	Counts	genWeight
1900	900	30642206	30642206.000	19586	19586.000
2500	1000	30642206	30642206.000	17767	17767.000
2400	300	30642206	30642206.000	14910	14910.000
2550	1900	30642206	30642206.000	16570	16570.000
1000	0	30642206	30642206.000	135497	135497.000
1750	400	30642206	30642206.000	15498	15498.000
2100	1550	30642206	30642206.000	20615	20615.000
1650	1300	30642206	30642206.000	18444	18444.000
1950	1500	30642206	30642206.000	16032	16032.000
1200	0	30642206	30642206.000	51266	51266.000
2450	1300	30642206	30642206.000	16247	16247.000
1050	650	30642206	30642206.000	130289	130289.000
2250	0	30642206	30642206.000	17509	17509.000
2600	200	30642206	30642206.000	14422	14422.000
1200	600	30642206	30642206.000	52301	52301.000
2150	1150	30642206	30642206.000	12236	12236.000
2150	1400	30642206	30642206.000	13524	13524.000
2300	600	30642206	30642206.000	16849	16849.000
900	775	30642206	30642206.000	124939	124939.000
2350	100	30642206	30642206.000	15087	15087.000
1700	1050	30642206	30642206.000	19731	19731.000
2350	1450	30642206	30642206.000	15595	15595.000
1750	700	30642206	30642206.000	18014	18014.000
1700	1500	30642206	30642206.000	15368	15368.000
1650	300	30642206	30642206.000	18231	18231.000
1900	800	30642206	30642206.000	13458	13458.000
1050	925	30642206	30642206.000	130217	130217.000
1700	100	30642206	30642206.000	16879	16879.000
2300	1800	30642206	30642206.000	14244	14244.000
1250	650	30642206	30642206.000	43720	43720.000
800	550	30642206	30642206.000	125658	125658.000
800	400	30642206	30642206.000	121512	121512.000
1600	1450	30642206	30642206.000	18253	18253.000
800	100	30642206	30642206.000	122104	122104.000
1850	400	30642206	30642206.000	15433	15433.000
1600	1000	30642206	30642206.000	18323	18323.000
1600	700	30642206	30642206.000	19209	19209.000
1950	1100	30642206	30642206.000	18775	18775.000
1400	1000	30642206	30642206.000	19284	19284.000
1550	1200	30642206	30642206.000	16561	16561.000
1800	1550	30642206	30642206.000	13464	13464.000
1450	1325	30642206	30642206.000	20036	20036.000
1400	400	30642206	30642206.000	15858	15858.000
1950	1250	30642206	30642206.000	18208	18208.000
1950	200	30642206	30642206.000	18855	18855.000
2300	1000	30642206	30642206.000	18949	18949.000
2000	800	30642206	30642206.000	20490	20490.000
2050	1100	30642206	30642206.000	18488	18488.000
2250	1600	30642206	30642206.000	15620	15620.000
2050	1550	30642206	30642206.000	16950	16950.000
2250	1350	30642206	30642206.000	15165	15165.000
2350	200	30642206	30642206.000	15541	15541.000
1700	800	30642206	30642206.000	17372	17372.000
1750	1625	30642206	30642206.000	17152	17152.000
1750	1400	30642206	30642206.000	15884	15884.000
2000	1700	30642206	30642206.000	13417	13417.000
2600	300	30642206	30642206.000	17394	17394.000
2550	1200	30642206	30642206.000	17323	17323.000
2000	1600	30642206	30642206.000	19072	19072.000
1700	1000	30642206	30642206.000	17943	17943.000
1250	800	30642206	30642206.000	41233	41233.000
2200	1250	30642206	30642206.000	16592	16592.000
1200	500	30642206	30642206.000	57878	57878.000
1900	700	30642206	30642206.000	14458	14458.000
1700	1150	30642206	30642206.000	17154	17154.000
1550	950	30642206	30642206.000	15939	15939.000
1300	500	30642206	30642206.000	30644	30644.000
1450	100	30642206	30642206.000	17050	17050.000
1750	500	30642206	30642206.000	18738	18738.000
1450	400	30642206	30642206.000	19344	19344.000
2450	500	30642206	30642206.000	13352	13352.000
2450	1650	30642206	30642206.000	15149	15149.000
1300	1150	30642206	30642206.000	30704	30704.000
1850	1250	30642206	30642206.000	17856	17856.000
2500	1500	30642206	30642206.000	18867	18867.000
1450	1300	30642206	30642206.000	19614	19614.000
2250	800	30642206	30642206.000	19352	19352.000
700	200	30642206	30642206.000	122745	122745.000
2100	1850	30642206	30642206.000	15547	15547.000
2350	0	30642206	30642206.000	18302	18302.000
2500	1300	30642206	30642206.000	15172	15172.000
2600	700	30642206	30642206.000	13735	13735.000
2250	1700	30642206	30642206.000	17595	17595.000
1000	300	30642206	30642206.000	126622	126622.000
2100	1250	30642206	30642206.000	14171	14171.000
1650	750	30642206	30642206.000	18034	18034.000
1550	1100	30642206	30642206.000	16175	16175.000
1600	1200	30642206	30642206.000	13985	13985.000
2200	1100	30642206	30642206.000	20915	20915.000
1750	1500	30642206	30642206.000	13279	13279.000
2050	1050	30642206	30642206.000	20793	20793.000
2150	1350	30642206	30642206.000	16726	16726.000
650	450	30642206	30642206.000	181617	181617.000
1050	600	30642206	30642206.000	126678	126678.000
1750	1250	30642206	30642206.000	16574	16574.000
1200	650	30642206	30642206.000	59206	59206.000
850	450	30642206	30642206.000	113009	113009.000
850	600	30642206	30642206.000	121080	121080.000
2100	200	30642206	30642206.000	17896	17896.000
1700	300	30642206	30642206.000	17737	17737.000
1650	700	30642206	30642206.000	15899	15899.000
2550	700	30642206	30642206.000	17252	17252.000
800	675	30642206	30642206.000	125170	125170.000
1600	200	30642206	30642206.000	16094	16094.000
1150	600	30642206	30642206.000	79898	79898.000
1100	0	30642206	30642206.000	113231	113231.000
2350	1100	30642206	30642206.000	18931	18931.000
1200	1000	30642206	30642206.000	53920	53920.000
1400	1050	30642206	30642206.000	19364	19364.000
1950	950	30642206	30642206.000	14943	14943.000
2400	1800	30642206	30642206.000	15395	15395.000
1400	750	30642206	30642206.000	20261	20261.000
2100	700	30642206	30642206.000	17126	17126.000
2350	1800	30642206	30642206.000	17173	17173.000
2150	1100	30642206	30642206.000	15662	15662.000
1850	1350	30642206	30642206.000	17821	17821.000
2550	1600	30642206	30642206.000	16922	16922.000
1800	900	30642206	30642206.000	18475	18475.000
2400	200	30642206	30642206.000	15655	15655.000
2350	400	30642206	30642206.000	18055	18055.000
1150	750	30642206	30642206.000	77839	77839.000
2000	1050	30642206	30642206.000	19242	19242.000
2300	400	30642206	30642206.000	15030	15030.000
