#mGo	mLSP	Total	TotGenW	Counts	genWeight
2150	0	21137386	21137386.000	9867	9867.000
1350	1150	21137386	21137386.000	21523	21523.000
2600	800	21137386	21137386.000	12066	12066.000
2500	1800	21137386	21137386.000	9879	9879.000
1100	900	21137386	21137386.000	77977	77977.000
2200	900	21137386	21137386.000	11251	11251.000
950	700	21137386	21137386.000	81583	81583.000
2400	1500	21137386	21137386.000	14854	14854.000
1350	1000	21137386	21137386.000	18157	18157.000
1200	100	21137386	21137386.000	33363	33363.000
1900	300	21137386	21137386.000	8800	8800.000
1800	1450	21137386	21137386.000	11108	11108.000
700	500	21137386	21137386.000	100267	100267.000
2550	1750	21137386	21137386.000	14018	14018.000
1700	950	21137386	21137386.000	8637	8637.000
1300	200	21137386	21137386.000	14811	14811.000
2200	600	21137386	21137386.000	8278	8278.000
2000	1550	21137386	21137386.000	13698	13698.000
2300	1350	21137386	21137386.000	10782	10782.000
600	0	21137386	21137386.000	181753	181753.000
800	450	21137386	21137386.000	88421	88421.000
1650	1450	21137386	21137386.000	11352	11352.000
1750	0	21137386	21137386.000	9598	9598.000
1650	0	21137386	21137386.000	6313	6313.000
1100	975	21137386	21137386.000	86781	86781.000
1400	0	21137386	21137386.000	4549	4549.000
1000	450	21137386	21137386.000	83537	83537.000
2150	1300	21137386	21137386.000	7686	7686.000
1600	750	21137386	21137386.000	9703	9703.000
1400	1275	21137386	21137386.000	13154	13154.000
1350	650	21137386	21137386.000	17217	17217.000
1200	950	21137386	21137386.000	39174	39174.000
2100	1500	21137386	21137386.000	16476	16476.000
1400	450	21137386	21137386.000	11202	11202.000
1900	1000	21137386	21137386.000	10391	10391.000
2050	900	21137386	21137386.000	9778	9778.000
1850	1400	21137386	21137386.000	10811	10811.000
1950	1700	21137386	21137386.000	12584	12584.000
2550	1300	21137386	21137386.000	12395	12395.000
2050	1800	21137386	21137386.000	12955	12955.000
2500	100	21137386	21137386.000	6646	6646.000
1100	550	21137386	21137386.000	74937	74937.000
1700	1200	21137386	21137386.000	10020	10020.000
1850	200	21137386	21137386.000	10800	10800.000
1100	100	21137386	21137386.000	69208	69208.000
1350	600	21137386	21137386.000	20029	20029.000
950	550	21137386	21137386.000	88450	88450.000
1750	1200	21137386	21137386.000	12116	12116.000
2000	1150	21137386	21137386.000	10937	10937.000
2200	1850	21137386	21137386.000	11350	11350.000
1250	400	21137386	21137386.000	26092	26092.000
1900	1500	21137386	21137386.000	16599	16599.000
2550	1700	21137386	21137386.000	6845	6845.000
950	600	21137386	21137386.000	94598	94598.000
2200	700	21137386	21137386.000	12121	12121.000
1450	650	21137386	21137386.000	12170	12170.000
1500	950	21137386	21137386.000	9630	9630.000
2250	1500	21137386	21137386.000	12170	12170.000
1450	750	21137386	21137386.000	7692	7692.000
1250	1100	21137386	21137386.000	29464	29464.000
2350	1650	21137386	21137386.000	15439	15439.000
1450	950	21137386	21137386.000	12608	12608.000
1450	1250	21137386	21137386.000	12208	12208.000
2550	1100	21137386	21137386.000	16710	16710.000
900	650	21137386	21137386.000	90978	90978.000
2550	1000	21137386	21137386.000	11044	11044.000
2450	1900	21137386	21137386.000	12081	12081.000
2600	1100	21137386	21137386.000	9514	9514.000
2500	1600	21137386	21137386.000	18082	18082.000
2250	1200	21137386	21137386.000	13703	13703.000
2000	1300	21137386	21137386.000	9903	9903.000
1650	100	21137386	21137386.000	8215	8215.000
2550	1400	21137386	21137386.000	12505	12505.000
1050	450	21137386	21137386.000	87158	87158.000
2150	1250	21137386	21137386.000	12328	12328.000
2350	800	21137386	21137386.000	14064	14064.000
1550	750	21137386	21137386.000	10903	10903.000
2000	1500	21137386	21137386.000	11287	11287.000
1600	1250	21137386	21137386.000	9977	9977.000
950	500	21137386	21137386.000	91793	91793.000
1300	900	21137386	21137386.000	18652	18652.000
2350	1600	21137386	21137386.000	9375	9375.000
650	400	21137386	21137386.000	149763	149763.000
1900	600	21137386	21137386.000	11613	11613.000
2400	1300	21137386	21137386.000	10852	10852.000
1850	1500	21137386	21137386.000	10816	10816.000
1550	200	21137386	21137386.000	13366	13366.000
850	400	21137386	21137386.000	95896	95896.000
850	550	21137386	21137386.000	84134	84134.000
2050	1650	21137386	21137386.000	11914	11914.000
1650	1500	21137386	21137386.000	12567	12567.000
1300	1000	21137386	21137386.000	21986	21986.000
2100	100	21137386	21137386.000	7333	7333.000
1700	700	21137386	21137386.000	8147	8147.000
2250	100	21137386	21137386.000	6015	6015.000
2600	1850	21137386	21137386.000	14086	14086.000
1750	1350	21137386	21137386.000	9405	9405.000
1950	1800	21137386	21137386.000	7951	7951.000
1550	1350	21137386	21137386.000	10030	10030.000
1250	550	21137386	21137386.000	27119	27119.000
1900	1300	21137386	21137386.000	11765	11765.000
600	300	21137386	21137386.000	248546	248546.000
1200	750	21137386	21137386.000	33538	33538.000
1700	400	21137386	21137386.000	11503	11503.000
1000	750	21137386	21137386.000	86424	86424.000
1400	200	21137386	21137386.000	10195	10195.000
2100	1400	21137386	21137386.000	16907	16907.000
2350	900	21137386	21137386.000	9985	9985.000
600	475	21137386	21137386.000	249443	249443.000
2450	1850	21137386	21137386.000	13838	13838.000
1450	300	21137386	21137386.000	8226	8226.000
1450	600	21137386	21137386.000	8026	8026.000
2400	400	21137386	21137386.000	12450	12450.000
1500	0	21137386	21137386.000	7493	7493.000
1500	300	21137386	21137386.000	7563	7563.000
1900	200	21137386	21137386.000	11313	11313.000
2250	700	21137386	21137386.000	10089	10089.000
2050	200	21137386	21137386.000	10367	10367.000
1700	0	21137386	21137386.000	5853	5853.000
1500	1375	21137386	21137386.000	9572	9572.000
1500	900	21137386	21137386.000	11412	11412.000
1750	600	21137386	21137386.000	12802	12802.000
1800	1600	21137386	21137386.000	7328	7328.000
950	400	21137386	21137386.000	87456	87456.000
2100	1450	21137386	21137386.000	6555	6555.000
1800	1000	21137386	21137386.000	9317	9317.000
2150	1550	21137386	21137386.000	16240	16240.000
2150	1800	21137386	21137386.000	11870	11870.000
2600	400	21137386	21137386.000	14760	14760.000
1800	100	21137386	21137386.000	6636	6636.000
2250	1800	21137386	21137386.000	11503	11503.000
1700	1300	21137386	21137386.000	12636	12636.000
2450	1100	21137386	21137386.000	11404	11404.000
1900	900	21137386	21137386.000	18006	18006.000
2500	1000	21137386	21137386.000	11478	11478.000
2400	300	21137386	21137386.000	7699	7699.000
2550	1900	21137386	21137386.000	13237	13237.000
1000	0	21137386	21137386.000	57318	57318.000
1750	400	21137386	21137386.000	13812	13812.000
2100	1550	21137386	21137386.000	13515	13515.000
1650	1300	21137386	21137386.000	15896	15896.000
1950	1500	21137386	21137386.000	13592	13592.000
1200	0	21137386	21137386.000	24214	24214.000
2450	1300	21137386	21137386.000	14814	14814.000
1050	650	21137386	21137386.000	81969	81969.000
2250	0	21137386	21137386.000	5864	5864.000
2600	200	21137386	21137386.000	8798	8798.000
1200	600	21137386	21137386.000	40132	40132.000
2150	1150	21137386	21137386.000	11880	11880.000
2150	1400	21137386	21137386.000	10955	10955.000
2300	600	21137386	21137386.000	16191	16191.000
900	775	21137386	21137386.000	104156	104156.000
2350	100	21137386	21137386.000	7068	7068.000
1700	1050	21137386	21137386.000	11475	11475.000
2350	1450	21137386	21137386.000	12013	12013.000
1750	700	21137386	21137386.000	12220	12220.000
1700	1500	21137386	21137386.000	14282	14282.000
1650	300	21137386	21137386.000	10477	10477.000
1900	800	21137386	21137386.000	6086	6086.000
1050	925	21137386	21137386.000	91786	91786.000
1700	100	21137386	21137386.000	7944	7944.000
2300	1800	21137386	21137386.000	11463	11463.000
1250	650	21137386	21137386.000	29334	29334.000
800	550	21137386	21137386.000	82991	82991.000
800	400	21137386	21137386.000	85067	85067.000
1600	1450	21137386	21137386.000	15668	15668.000
800	100	21137386	21137386.000	75791	75791.000
1850	400	21137386	21137386.000	7667	7667.000
1600	1000	21137386	21137386.000	15394	15394.000
1600	700	21137386	21137386.000	12647	12647.000
1950	1100	21137386	21137386.000	10120	10120.000
1400	1000	21137386	21137386.000	11448	11448.000
1550	1200	21137386	21137386.000	9072	9072.000
1800	1550	21137386	21137386.000	11032	11032.000
1450	1325	21137386	21137386.000	12479	12479.000
1400	400	21137386	21137386.000	12841	12841.000
1950	1250	21137386	21137386.000	4903	4903.000
1950	200	21137386	21137386.000	7432	7432.000
2300	1000	21137386	21137386.000	7425	7425.000
2000	800	21137386	21137386.000	12036	12036.000
2050	1100	21137386	21137386.000	12373	12373.000
2250	1600	21137386	21137386.000	13980	13980.000
2050	1550	21137386	21137386.000	8685	8685.000
2250	1350	21137386	21137386.000	10648	10648.000
2350	200	21137386	21137386.000	7614	7614.000
1700	800	21137386	21137386.000	16991	16991.000
1750	1625	21137386	21137386.000	15183	15183.000
1750	1400	21137386	21137386.000	12844	12844.000
2000	1700	21137386	21137386.000	10086	10086.000
2600	300	21137386	21137386.000	10226	10226.000
2550	1200	21137386	21137386.000	12395	12395.000
2000	1600	21137386	21137386.000	11820	11820.000
1700	1000	21137386	21137386.000	12540	12540.000
1250	800	21137386	21137386.000	27111	27111.000
2200	1250	21137386	21137386.000	8289	8289.000
1200	500	21137386	21137386.000	35647	35647.000
1900	700	21137386	21137386.000	10308	10308.000
1700	1150	21137386	21137386.000	14488	14488.000
1550	950	21137386	21137386.000	11098	11098.000
1300	500	21137386	21137386.000	18508	18508.000
1450	100	21137386	21137386.000	8034	8034.000
1750	500	21137386	21137386.000	11980	11980.000
1450	400	21137386	21137386.000	10912	10912.000
2450	500	21137386	21137386.000	10147	10147.000
2450	1650	21137386	21137386.000	9621	9621.000
1300	1150	21137386	21137386.000	17940	17940.000
1850	1250	21137386	21137386.000	10092	10092.000
2500	1500	21137386	21137386.000	11383	11383.000
1450	1300	21137386	21137386.000	11198	11198.000
2250	800	21137386	21137386.000	7633	7633.000
700	200	21137386	21137386.000	96606	96606.000
2100	1850	21137386	21137386.000	10605	10605.000
2350	0	21137386	21137386.000	5425	5425.000
2500	1300	21137386	21137386.000	11802	11802.000
2600	700	21137386	21137386.000	12400	12400.000
2250	1700	21137386	21137386.000	10755	10755.000
1000	300	21137386	21137386.000	88153	88153.000
2100	1250	21137386	21137386.000	13707	13707.000
1650	750	21137386	21137386.000	9753	9753.000
1550	1100	21137386	21137386.000	9946	9946.000
1600	1200	21137386	21137386.000	9163	9163.000
2200	1100	21137386	21137386.000	10328	10328.000
1750	1500	21137386	21137386.000	11338	11338.000
2050	1050	21137386	21137386.000	7909	7909.000
2150	1350	21137386	21137386.000	9768	9768.000
650	450	21137386	21137386.000	141804	141804.000
1050	600	21137386	21137386.000	87947	87947.000
1750	1250	21137386	21137386.000	9345	9345.000
1200	650	21137386	21137386.000	40654	40654.000
850	450	21137386	21137386.000	88962	88962.000
850	600	21137386	21137386.000	90773	90773.000
2100	200	21137386	21137386.000	5178	5178.000
1700	300	21137386	21137386.000	14698	14698.000
1650	700	21137386	21137386.000	11843	11843.000
2550	700	21137386	21137386.000	8567	8567.000
800	675	21137386	21137386.000	87451	87451.000
1600	200	21137386	21137386.000	9217	9217.000
1150	600	21137386	21137386.000	50206	50206.000
1100	0	21137386	21137386.000	59832	59832.000
2350	1100	21137386	21137386.000	10835	10835.000
1200	1000	21137386	21137386.000	44886	44886.000
1400	1050	21137386	21137386.000	12283	12283.000
1950	950	21137386	21137386.000	12382	12382.000
2400	1800	21137386	21137386.000	8405	8405.000
1400	750	21137386	21137386.000	12478	12478.000
2100	700	21137386	21137386.000	11401	11401.000
2350	1800	21137386	21137386.000	8351	8351.000
2150	1100	21137386	21137386.000	7686	7686.000
