#mGo	mLSP	Total	TotGenW	Counts	genWeight
1250	700	44775926	44775926.000	58862	58862.000
1850	1050	44775926	44775926.000	25502	25502.000
2700	0	44775926	44775926.000	24328	24328.000
1900	1150	44775926	44775926.000	22101	22101.000
2300	800	44775926	44775926.000	18431	18431.000
1550	500	44775926	44775926.000	26596	26596.000
750	450	44775926	44775926.000	205445	205445.000
2200	1300	44775926	44775926.000	33646	33646.000
2000	1050	44775926	44775926.000	17971	17971.000
1500	850	44775926	44775926.000	19187	19187.000
2150	1200	44775926	44775926.000	22168	22168.000
1500	1150	44775926	44775926.000	24907	24907.000
2150	900	44775926	44775926.000	23585	23585.000
1450	550	44775926	44775926.000	25514	25514.000
1350	0	44775926	44775926.000	33321	33321.000
1450	850	44775926	44775926.000	21927	21927.000
1550	0	44775926	44775926.000	20852	20852.000
2000	0	44775926	44775926.000	22736	22736.000
1300	100	44775926	44775926.000	52638	52638.000
950	725	44775926	44775926.000	210727	210727.000
1850	1300	44775926	44775926.000	23388	23388.000
1000	400	44775926	44775926.000	194853	194853.000
1900	1550	44775926	44775926.000	31565	31565.000
2400	1400	44775926	44775926.000	15308	15308.000
2250	400	44775926	44775926.000	27784	27784.000
1600	650	44775926	44775926.000	32793	32793.000
2150	1450	44775926	44775926.000	27319	27319.000
2150	500	44775926	44775926.000	23017	23017.000
2200	1550	44775926	44775926.000	23980	23980.000
2700	900	44775926	44775926.000	24168	24168.000
2450	300	44775926	44775926.000	29570	29570.000
2250	1300	44775926	44775926.000	22638	22638.000
1700	1400	44775926	44775926.000	25458	25458.000
2750	900	44775926	44775926.000	23567	23567.000
2100	200	44775926	44775926.000	21712	21712.000
2600	500	44775926	44775926.000	22061	22061.000
2800	1200	44775926	44775926.000	18029	18029.000
850	300	44775926	44775926.000	159599	159599.000
900	200	44775926	44775926.000	204766	204766.000
2400	100	44775926	44775926.000	27119	27119.000
2100	0	44775926	44775926.000	22584	22584.000
2700	1300	44775926	44775926.000	19547	19547.000
1850	100	44775926	44775926.000	21822	21822.000
1250	450	44775926	44775926.000	65574	65574.000
2450	200	44775926	44775926.000	22931	22931.000
900	550	44775926	44775926.000	192651	192651.000
950	650	44775926	44775926.000	205995	205995.000
2150	1000	44775926	44775926.000	25596	25596.000
1750	1300	44775926	44775926.000	30380	30380.000
2700	1500	44775926	44775926.000	24523	24523.000
1550	400	44775926	44775926.000	25219	25219.000
700	400	44775926	44775926.000	221474	221474.000
2500	900	44775926	44775926.000	20435	20435.000
1050	700	44775926	44775926.000	190972	190972.000
1950	600	44775926	44775926.000	25615	25615.000
1400	600	44775926	44775926.000	25271	25271.000
1900	1450	44775926	44775926.000	22019	22019.000
1000	100	44775926	44775926.000	185993	185993.000
2000	300	44775926	44775926.000	24485	24485.000
2350	1000	44775926	44775926.000	22420	22420.000
1350	750	44775926	44775926.000	39678	39678.000
1450	200	44775926	44775926.000	25392	25392.000
1600	0	44775926	44775926.000	31538	31538.000
2000	900	44775926	44775926.000	30781	30781.000
2200	1500	44775926	44775926.000	20731	20731.000
2650	0	44775926	44775926.000	31834	31834.000
1450	1100	44775926	44775926.000	26848	26848.000
1500	200	44775926	44775926.000	24316	24316.000
700	450	44775926	44775926.000	222143	222143.000
1250	950	44775926	44775926.000	60012	60012.000
2250	500	44775926	44775926.000	26089	26089.000
1500	1275	44775926	44775926.000	28447	28447.000
1500	800	44775926	44775926.000	26274	26274.000
2050	0	44775926	44775926.000	28755	28755.000
1500	1100	44775926	44775926.000	25132	25132.000
2650	1200	44775926	44775926.000	32809	32809.000
1950	1350	44775926	44775926.000	28027	28027.000
2200	1600	44775926	44775926.000	13767	13767.000
1950	1050	44775926	44775926.000	12050	12050.000
1150	800	44775926	44775926.000	139275	139275.000
1800	1100	44775926	44775926.000	27659	27659.000
1350	700	44775926	44775926.000	43536	43536.000
1650	1250	44775926	44775926.000	30250	30250.000
2450	100	44775926	44775926.000	13834	13834.000
1150	925	44775926	44775926.000	142783	142783.000
1100	600	44775926	44775926.000	175264	175264.000
1500	500	44775926	44775926.000	26258	26258.000
2700	1200	44775926	44775926.000	22540	22540.000
1600	1150	44775926	44775926.000	28298	28298.000
1150	550	44775926	44775926.000	132031	132031.000
2450	800	44775926	44775926.000	17540	17540.000
900	350	44775926	44775926.000	216030	216030.000
2500	800	44775926	44775926.000	17511	17511.000
1200	550	44775926	44775926.000	83424	83424.000
2300	1500	44775926	44775926.000	25524	25524.000
2050	700	44775926	44775926.000	27342	27342.000
1250	550	44775926	44775926.000	64657	64657.000
2400	500	44775926	44775926.000	22771	22771.000
1950	1300	44775926	44775926.000	24883	24883.000
2050	1150	44775926	44775926.000	31325	31325.000
1550	300	44775926	44775926.000	23075	23075.000
1600	400	44775926	44775926.000	27915	27915.000
1950	400	44775926	44775926.000	20681	20681.000
1700	1475	44775926	44775926.000	22394	22394.000
1000	700	44775926	44775926.000	184697	184697.000
1350	1100	44775926	44775926.000	36366	36366.000
1800	1200	44775926	44775926.000	24654	24654.000
2500	500	44775926	44775926.000	27761	27761.000
1350	200	44775926	44775926.000	35981	35981.000
1700	200	44775926	44775926.000	24749	24749.000
1650	600	44775926	44775926.000	25180	25180.000
1600	500	44775926	44775926.000	26256	26256.000
1200	450	44775926	44775926.000	82142	82142.000
750	525	44775926	44775926.000	192673	192673.000
2400	1100	44775926	44775926.000	26311	26311.000
1700	1100	44775926	44775926.000	20686	20686.000
1750	200	44775926	44775926.000	21300	21300.000
1950	500	44775926	44775926.000	31228	31228.000
1150	900	44775926	44775926.000	139060	139060.000
2500	300	44775926	44775926.000	29021	29021.000
2000	1400	44775926	44775926.000	30040	30040.000
2750	500	44775926	44775926.000	20730	20730.000
1050	825	44775926	44775926.000	215376	215376.000
1650	800	44775926	44775926.000	20765	20765.000
950	450	44775926	44775926.000	195070	195070.000
800	500	44775926	44775926.000	193015	193015.000
1850	800	44775926	44775926.000	31110	31110.000
1000	200	44775926	44775926.000	198985	198985.000
2500	700	44775926	44775926.000	27113	27113.000
1200	975	44775926	44775926.000	75643	75643.000
2500	1400	44775926	44775926.000	32592	32592.000
750	500	44775926	44775926.000	189487	189487.000
1400	800	44775926	44775926.000	23762	23762.000
