,bin,DataPos_yield,DataPos_yield_err,DataNeg_yield,DataNeg_yield_err,TTJets_yield,TTJets_yield_err,WJetsPos_yield,WJetsPos_yield_err,WJetsNeg_yield,WJetsNeg_yield_err,QCD_yield,QCD_yield_err,OtherPos_yield,OtherPos_yield_err,OtherNeg_yield,OtherNeg_yield_err,TotalPos_yield,TotalPos_yield_err,TotalNeg_yield,TotalNeg_yield_err,TTJetsIncl_fraction,TTJetsIncl_fraction_err,TTJetsPos_fraction,TTJetsPos_fraction_err,TTJetsNeg_fraction,TTJetsNeg_fraction_err,WJetsIncl_fraction,WJetsIncl_fraction_err,WJetsPos_fraction,WJetsPos_fraction_err,WJetsNeg_fraction,WJetsNeg_fraction_err
0,LT1_HT02_NB0_NJ34_NW0,4731.0,68.78226515607058,6037.0,77.69813382572325,860.228861558622,42.35413144110748,3743.512949111591,74.84743057552997,5062.216017207522,84.14256701449528,369.3665,19.21891089526147,196.6789377471466,0.0,210.54437247975358,0.0,4739.672817638048,80.1247309654855,6072.241320466586,88.86960240893104,0.07956304966637694,0.0040151003354317325,0.09074770502695853,0.004724074549377251,0.07083289482083056,0.0036383343645094994,0.8144468087556221,0.013774397218194918,0.7898251826962858,0.02067983675803725,0.8336651575663243,0.018462907550952447
1,LT1_HT02_NB0_NJ34_NW1i,880.0,29.664793948382652,1141.0,33.77869150810907,455.7789224961051,29.442148322633845,550.0784708397538,33.28636695407102,812.6096004790272,37.47164040923895,51.104499999999994,7.148743665847866,51.94359751232762,0.0,52.50577425388924,0.0,881.016029600134,37.09173473247193,1144.109335980969,40.889343298985644,0.22506207775700884,0.015780002613224816,0.25866664577202364,0.01994474171486681,0.19918503772426452,0.01470480175834569,0.6728907229542119,0.030806201707422657,0.6243682888373977,0.04602660741654631,0.7102551958308153,0.04143692644079155
2,LT1_HT02_NB0_NJ67_NW0,1259.0,35.482389998420345,1534.0,39.16631205513228,877.6692297188603,36.78127757756827,529.53383444857,41.05865531403738,806.8737803532614,45.06843413723258,218.201,14.771629429416377,65.71565873912995,0.0,70.13801387073045,0.0,1252.2851080471303,47.352189043976225,1534.047409083422,50.868265024881694,0.31499084345565115,0.015361668078724414,0.3504270808935583,0.01977994688351176,0.2860632678370934,0.015287199882363864,0.47962962302076695,0.024937497630618984,0.4228540537979797,0.03647796234086863,0.5259770823089231,0.034165859261895484
3,LT1_HT02_NB0_NJ67_NW1i,399.0,19.974984355438178,429.0,20.71231517720798,377.96331111060096,24.421573964949093,140.0090411376616,23.20017428998594,178.27496830037268,24.501874691407025,39.917,6.317993035766975,21.857786979446914,0.0,21.95974259163029,0.0,390.765483672409,26.967915043938685,429.1333664473035,28.095590723897974,0.4609877316639912,0.036968294353561006,0.48361911031458893,0.04572111298977973,0.44037977545264345,0.040508499316284204,0.38819911674661084,0.04509691699568331,0.3582942889987581,0.06431446420658651,0.4154302187598931,0.06324340666890765
4,LT1_HT02_NB0_NJ8i_NW0,95.0,9.746794344808963,120.0,10.954451150103322,115.76719622808818,13.2863509387804,11.511629434988198,12.09402250072412,37.44270399382069,13.74315396428792,20.048000000000002,4.4775033221651555,5.375652984630404,0.0,6.248708269901591,0.0,94.81888053366269,14.506729354514373,121.62301037776638,15.907674160707167,0.5348650196161041,0.08123177377078175,0.6104648967406254,0.11675506499642822,0.4759263722732656,0.08281525429480356,0.22617772013848125,0.08752165430280569,0.12140651070966112,0.12889404793587295,0.3078587175035548,0.11995800269077633
5,LT1_HT02_NB0_NJ8i_NW1i,33.0,5.744562646538029,35.0,5.916079783099616,28.69778545533553,6.72405973953887,15.433501556783577,7.234274807751504,14.43238704390942,6.856506455772731,3.6694999999999993,1.9156032992245549,1.35710883745513,0.0,1.3999528453052885,0.0,34.80900312190647,8.204115603725361,33.850732616882475,7.8730211242746595,0.4179711026636368,0.11992606238856758,0.41221785862168303,0.1369957980264248,0.4238872136111908,0.13994246087831078,0.4349840307325917,0.1620598908216478,0.44337671787764465,0.23262080286270606,0.4263537574578671,0.2255216329776771
6,LT1_HT0_NB0_NJ34_NW0,3882.0,62.30569797378086,4861.0,69.72087205421343,739.3905269101199,38.650741771151296,3077.5528054762076,67.82320261547547,4062.2559458175765,75.48509513325313,286.1315,16.915423021609598,160.84861881333867,0.0,173.18796436331496,0.0,3894.228187744606,72.52301916553732,4891.270673635951,79.7345664259945,0.0841603349538118,0.004518915997670864,0.09493415527588121,0.005268095070767802,0.07558266309973909,0.004138649021288643,0.8126810854963596,0.015258591449960592,0.7902856887435281,0.022802154516388992,0.8305113776903043,0.020529407110684628
7,LT1_HT0_NB0_NJ34_NW1i,717.0,26.77685567799177,861.0,29.34280150224242,379.892096208543,26.358405029720377,443.318266092488,29.749627177052403,596.4406229534138,32.61502024099623,39.6485,6.296708346429902,40.82475697964703,0.0,40.169832769879584,0.0,713.7375711764066,33.14181998776338,866.205003827565,35.736248547494334,0.2404467745972274,0.0182577372128343,0.2661286946001679,0.02221857833930121,0.21928532768217995,0.01770136001562705,0.6580991648024221,0.03453745257267574,0.6211222219418766,0.05068693302634905,0.6885675103674961,0.047166979831190475
8,LT1_HT0_NB0_NJ5_NW0,1708.0,41.32795663954365,2196.0,46.861498055439924,736.9299593928306,34.79160785403446,953.298310255086,46.762201122692616,1425.9735515955215,52.13909775963214,306.00050000000005,17.492871005069464,85.70793374087438,0.0,89.15218719922386,0.0,1713.4717236923757,52.87076681973113,2189.5912184911604,57.681019802494006,0.18880811565405126,0.00968426450951329,0.21504001180854435,0.012128369661642834,0.16828026007079222,0.009097877788628255,0.6095909538470172,0.02171027525545035,0.556354853759019,0.03224119064197088,0.6512510369758219,0.029348846079847727
9,LT1_HT0_NB0_NJ5_NW1i,464.0,21.540659228538015,515.0,22.693611435820433,379.3531455130485,24.34632721052771,191.32520597622386,24.667175445669205,239.98062950594613,25.935350676635633,56.8325,7.538735703020767,25.927546997472152,0.0,26.975301039018326,0.0,463.76182573022027,28.521710899382356,513.4650033014888,29.625341565635743,0.388193543446748,0.029791854285216766,0.40899565732446247,0.036355156316873555,0.3694050646819892,0.03187992795812454,0.4413569323608644,0.041066765331416656,0.41255057092068986,0.058930900838374635,0.4673748511834561,0.057257974236084024
10,LT1_HT1i_NB0_NJ34_NW0,1234.0,35.12833614050059,1762.0,41.97618372363071,172.31475249742,21.11380098034176,975.400362600048,38.233398545845716,1511.1302892921935,45.44859512835902,113.75449999999998,10.6655771526908,51.777537395595154,0.0,55.89261439202662,0.0,1227.089776244353,41.07305014635323,1766.9347799329303,47.86206726731378,0.057552885510541156,0.007155434171161636,0.07021277327597365,0.008918425256317654,0.048760926111817426,0.006118951497171729,0.8304977481771222,0.02644911036325775,0.7948891609099467,0.04097208260055745,0.8552269763740534,0.0346160857251242
11,LT1_HT1i_NB0_NJ34_NW1i,241.0,15.524174696260024,415.0,20.37154878746336,94.57739628884565,15.438831203287648,166.1041554843166,18.11329181685752,327.2113214471985,22.415612087309334,16.288999999999994,4.03596778976245,16.479537248907125,0.0,20.173455819145882,0.0,246.16139087764654,20.098998822666257,410.9624754107672,24.048660637957166,0.14392628413124067,0.024476867543349188,0.19210444812577238,0.03506315450644321,0.11506816552327946,0.01995419380550281,0.7507191600236254,0.0566168627434229,0.6747774494290129,0.09192364125074898,0.7962072963477813,0.07173505072332872
12,LT1_HT1i_NB0_NJ5_NW0,786.0,28.035691537752374,1049.0,32.38826948140329,278.8732730049005,22.75876159851204,481.5872079701609,31.857222702240605,747.4849367386267,36.56813170997733,115.7235,10.757487438988715,46.39195852104204,0.0,49.40117831062739,0.0,783.1393029936532,35.497837704212785,1052.0462515517045,39.77992081606908,0.15195916964047135,0.013163689982934787,0.17804831907865604,0.01662129878234428,0.1325385041739274,0.011921015301651006,0.6697263618191859,0.0328169978046595,0.61494450109863,0.049312560835297045,0.7105057744715423,0.04393122741535534
13,LT1_HT1i_NB0_NJ5_NW1i,257.0,16.0312195418814,295.0,17.175564037317667,125.39566053862234,16.103946789078368,151.481848178626,18.65512103588052,189.43263016202275,19.77540377676762,23.8965,4.888408329916804,17.952127561797315,0.0,15.613651411553807,0.0,256.0283060097345,20.898429424473953,291.6406118428877,21.904278259750125,0.22896252909566495,0.03201280760268539,0.24488632232299865,0.0372643571404195,0.21498319412074088,0.031984178080008335,0.6224827943082009,0.060399793418462404,0.591660549333426,0.08741542376699526,0.6495413274749049,0.08353347236139232
