,bin,DataPos_yield,DataPos_yield_err,DataNeg_yield,DataNeg_yield_err,TTJets_yield,TTJets_yield_err,WJetsPos_yield,WJetsPos_yield_err,WJetsNeg_yield,WJetsNeg_yield_err,QCD_yield,QCD_yield_err,OtherPos_yield,OtherPos_yield_err,OtherNeg_yield,OtherNeg_yield_err,TotalPos_yield,TotalPos_yield_err,TotalNeg_yield,TotalNeg_yield_err,TTJetsIncl_fraction,TTJetsIncl_fraction_err,TTJetsPos_fraction,TTJetsPos_fraction_err,TTJetsNeg_fraction,TTJetsNeg_fraction_err,WJetsIncl_fraction,WJetsIncl_fraction_err,WJetsPos_fraction,WJetsPos_fraction_err,WJetsNeg_fraction,WJetsNeg_fraction_err
0,LT1_HT02_NB0_NJ34_NW0,18408.0,135.67608484917304,24529.0,156.61736813010236,3539.918645204106,83.08976780949794,14176.781797091853,146.13736306169045,20285.12629382324,167.87795853930976,1666.1190000000001,40.818121282097245,769.7538852211385,0.0,849.1860274785773,0.0,18382.614004915045,157.3156867139555,24570.390643903866,177.6938529240257,0.08241376067044111,0.001987305883316874,0.09628441973099204,0.00240553512281433,0.07203627114659635,0.0017692900779761884,0.80231658699254,0.006819268418998469,0.7712059771967872,0.010332323841783456,0.8255923394875352,0.009073745783209044
1,LT1_HT02_NB0_NJ34_NW0i,21509.0,146.6594695203825,28723.0,169.47861221994944,5128.140822824827,99.73496192238831,16118.101541920694,158.8215563950983,23310.541993093284,182.4325065985247,1852.8509999999999,43.0447560685387,937.6052062517122,0.0,1027.2568666196514,0.0,21472.62815958482,171.94156989563766,28754.72027112535,193.96194509809345,0.1020985774293704,0.0020543843955105716,0.11941111224747213,0.0025115146995965546,0.08917041749097376,0.0018355831601930893,0.785003484494244,0.006293013391500157,0.7506347812727338,0.009530797689954235,0.810668362387133,0.008375795257365894
2,LT1_HT02_NB0_NJ34_NW1i,1892.0,43.497126341863094,4194.0,64.76109943476871,1173.2639885161545,46.98577087699189,960.8993836794465,47.249851284621094,3344.7838194375627,72.12996079322036,186.732,13.664992682032434,107.2048492699667,0.0,177.48495122900704,0.0,1841.4682272074904,54.508679470751304,4295.632764924647,77.08034078322306,0.19117560392444216,0.00820141242457834,0.31856753518233666,0.015864426774041113,0.13656474525665555,0.005992920772507766,0.7015825890166977,0.01771683244439,0.5218115466138725,0.02994914936716132,0.7786475247020415,0.021844197418611138
3,LT1_HT02_NB0_NJ67_NW0,2916.0,54.0,3402.0,58.32666628567074,1645.3915866209147,49.782022917941404,1102.231006100993,61.83928203240785,1597.5324745321795,66.55823408016279,856.219,29.26122049744337,133.81255962830411,0.0,140.53733346985197,0.0,2914.958359039754,72.80026290292015,3416.984601312489,76.84907286571747,0.2598557183669548,0.008982438021736979,0.28223243421613403,0.011072461922135532,0.24076660836998032,0.009076630421705572,0.42637204686426705,0.01602124130035627,0.37812924588881264,0.0232214653189495,0.4675269750757892,0.02213547654563234
4,LT1_HT02_NB0_NJ67_NW1i,798.0,28.24889378365107,903.0,30.04995840263344,717.8971278484072,32.90451883751364,252.45840939278085,32.56083314203788,365.91345437397285,35.0292220400671,140.322,11.845759789899505,39.14882193104873,0.0,41.00630989249315,0.0,790.8777952480332,38.356312647147206,906.1903281906697,40.47277185608115,0.4230219859375829,0.02385632380340216,0.45386097078579757,0.030286183183770996,0.39610725557057364,0.025349480723628786,0.3643765711147593,0.030618807892085036,0.3192129187463222,0.04398501056753004,0.4037931580053034,0.042655443803356674
5,LT1_HT02_NB0_NJ8i_NW0,241.0,15.524174696260024,273.0,16.522711641858304,212.62613240454124,17.55789484145116,47.42755705730926,18.521687614685398,83.54516631288745,20.044197418242995,76.258,8.732584096360023,9.967093918124494,0.0,9.644510385862407,0.0,239.9657171777044,22.27960625576347,275.7607429010205,23.56051342728684,0.4122847068426239,0.0427906527562163,0.44303439446536214,0.05504877172752129,0.38552647154867087,0.04580883678720852,0.2539577343970366,0.05527502971638952,0.19764305341244734,0.0793360572776243,0.30296250812928266,0.07715827361457689
6,LT1_HT02_NB0_NJ8i_NW0i,309.0,17.578395831246947,349.0,18.681541692269406,275.2127775254212,20.009840847398827,71.58709267298498,21.22219492404841,110.64055606208078,22.482307933276974,89.999,9.486781593353985,12.61158580450385,0.0,11.899136507552145,0.0,311.8040672401994,25.307686877288166,350.14508133234347,26.373312793262176,0.41576120781921466,0.03795821818008848,0.4413232642558989,0.0480902518904293,0.39299820588397816,0.041142139538131735,0.27528949788368146,0.049116850275957254,0.22958998997866695,0.07056749435572034,0.3159848930080079,0.06847768674691636
7,LT1_HT02_NB0_NJ8i_NW1i,68.0,8.246211251235321,76.0,8.717797887081348,61.969178598768785,9.517594475691451,24.35978484367308,10.29921928887264,27.798930869588446,10.17884907503281,13.740999999999998,3.7068888572494316,2.700529784856669,0.0,2.2546999945493558,0.0,71.78590392791413,11.935706686711699,74.7792201635222,11.831996646518473,0.422809853182457,0.08104019890671874,0.43162497933436145,0.09769774491759356,0.41434758521992293,0.09136718653246541,0.3558739914191436,0.10689449646296995,0.33933938991887114,0.15416675562693927,0.37174673403653585,0.14828377078271573
8,LT1_HT0_NB0_NJ34_NW0,8662.0,93.06986622962343,19821.0,140.78707327024026,2126.2993631043078,65.48708205858527,5749.9091560593715,98.13193078452565,17314.42611751401,153.56923727037707,1270.36,35.642110277030454,351.2299840316567,0.0,691.1899736922253,0.0,8434.648821643183,109.41835012298395,20339.125772758387,161.01555868903583,0.07389713004556642,0.002330197790617718,0.12604551819918428,0.004212335289233452,0.052271159214527525,0.0016622117892451955,0.8015748923695586,0.008338317658461217,0.6817010734703253,0.014613822609516307,0.8512866438293247,0.010120598449814543
9,LT1_HT0_NB0_NJ34_NW0i,10179.0,100.89103032480142,23001.0,151.66080574756288,3110.824457278623,78.60412276695192,6504.491631625926,106.9081275172796,19807.81883336375,166.23617957195523,1410.5,37.55662424925861,435.7809306987242,0.0,826.3201272110064,0.0,9906.184790963962,119.93539837446419,23600.051189214068,174.89888350892883,0.0928431489326034,0.002418432662586116,0.15701425538297026,0.004399345468288924,0.0659071548688073,0.0017354881668532462,0.7852959216474149,0.007713633172090098,0.6566091556821221,0.013403933432445538,0.8393125368480777,0.009397133440241151
